,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,54.93,1412197200,37.26,1412172000,0.24,granite,33.58,0.64,1412143200granite,46.395955,-113.427356,0.25,,0.0009,0.017,1412143200,0.58,rain,1016.87,MT,1412170412,1412212532,54.93,1412197200,40.24,1412172000,1412143200,10,261,7.59
0,2014-10-02 00:00:00,51.16,1412287200,31.52,1412312400,0.07,granite,30.93,0.64,1412229600granite,46.395955,-113.427356,0.29,,0.001,0.0062,1412269200,0.29,rain,1023.19,MT,1412256890,1412298815,51.16,1412287200,35.5,1412312400,1412229600,9.33,308,4.72
0,2014-10-03 00:00:00,60.42,1412377200,21.02,1412337600,0.01,granite,27.06,0.61,1412316000granite,46.395955,-113.427356,0.33,,0,0,,0,,1030.35,MT,1412343369,1412385097,60.42,1412377200,26.38,1412341200,1412316000,10,214,4.31
0,2014-10-04 00:00:00,68.99,1412460000,35.72,1412409600,0.11,granite,34.74,0.5,1412402400granite,46.395955,-113.427356,0.36,,0,0,,0,,1020.85,MT,1412429847,1412471380,68.99,1412460000,42.13,1412431200,1412402400,9.99,266,8.69
0,2014-10-05 00:00:00,70.9,1412546400,45.67,1412517600,0.06,granite,38.92,0.52,1412488800granite,46.395955,-113.427356,0.4,,0,0,,0,,1017.74,MT,1412516326,1412557664,70.9,1412546400,47.43,1412517600,1412488800,9.94,281,5.96
0,2014-10-06 00:00:00,74.13,1412632800,44.76,1412589600,0.03,granite,40.62,0.52,1412575200granite,46.395955,-113.427356,0.44,,0,0,,0,,1013.5,MT,1412602806,1412643948,74.13,1412632800,49.03,1412589600,1412575200,10,264,9.85
0,2014-10-07 00:00:00,72.48,1412719200,43.01,1412690400,0.1,granite,40.79,0.57,1412661600granite,46.395955,-113.427356,0.48,,0,0,,0,,1014.16,MT,1412689285,1412730233,72.48,1412719200,43.01,1412690400,1412661600,9.99,170,0.81
0,2014-10-08 00:00:00,70.34,1412805600,39.45,1412776800,0.03,granite,39.86,0.61,1412748000granite,46.395955,-113.427356,0.51,,0,0,,0,,1014.45,MT,1412775765,1412816518,70.34,1412805600,42.34,1412776800,1412748000,10,173,0.72
0,2014-10-09 00:00:00,63.51,1412892000,40.31,1412856000,0.09,granite,39.57,0.67,1412834400granite,46.395955,-113.427356,0.55,,0,0,,0,,1018.44,MT,1412862245,1412902804,63.51,1412892000,40.31,1412856000,1412834400,9.98,354,1.33
