,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,59.37,1412204400,33.87,1412164800,0.26,hill,36.65,0.65,1412143200hill,48.631959,-110.106321,0.25,,0.0019,0.0221,1412146800,0.61,rain,1011.73,MT,1412169669,1412211681,59.37,1412204400,40.59,1412164800,1412143200,10,272,11.17
0,2014-10-02 00:00:00,37.76,1412229600,21.02,1412312400,0.26,hill,28.52,0.74,1412229600hill,48.631959,-110.106321,0.29,,0.0031,0.0264,1412254800,0.63,rain,1022.61,MT,1412256155,1412297956,43.28,1412229600,28.35,1412312400,1412229600,9.77,306,12.15
0,2014-10-03 00:00:00,55.13,1412377200,18.74,1412337600,0.02,hill,25.83,0.64,1412316000hill,48.631959,-110.106321,0.33,,0.0001,0.0017,1412337600,0.04,rain,1027.51,MT,1412342642,1412384230,55.13,1412377200,23.58,1412337600,1412316000,10,244,5.8
0,2014-10-04 00:00:00,68.72,1412460000,37.49,1412406000,0.11,hill,36.62,0.53,1412402400hill,48.631959,-110.106321,0.36,,0,0,,0,,1015.23,MT,1412429129,1412470505,68.72,1412460000,42.53,1412406000,1412402400,10,288,10
0,2014-10-05 00:00:00,65.83,1412542800,40.07,1412510400,0.09,hill,38.89,0.61,1412488800hill,48.631959,-110.106321,0.4,,0.0003,0.0024,1412499600,0.07,rain,1014.91,MT,1412515616,1412556781,65.83,1412542800,44.38,1412571600,1412488800,10,286,9.19
0,2014-10-06 00:00:00,69.8,1412629200,39.16,1412575200,0.12,hill,39,0.55,1412575200hill,48.631959,-110.106321,0.44,,0,0,,0,,1008.7,MT,1412602103,1412643057,69.8,1412629200,42.32,1412578800,1412575200,10,289,9.43
0,2014-10-07 00:00:00,63.87,1412719200,44.98,1412690400,0.18,hill,34.11,0.5,1412661600hill,48.631959,-110.106321,0.48,,0.0001,0.0013,1412686800,0.02,rain,1014.68,MT,1412688590,1412729334,63.87,1412719200,44.98,1412690400,1412661600,9.94,49,1.87
0,2014-10-08 00:00:00,62.19,1412805600,38.73,1412830800,0.12,hill,36.91,0.62,1412748000hill,48.631959,-110.106321,0.51,,0.0001,0.0013,1412830800,0.02,rain,1015.7,MT,1412775078,1412815611,62.19,1412805600,42.74,1412773200,1412748000,10,80,7.07
0,2014-10-09 00:00:00,61.29,1412892000,30.95,1412859600,0.07,hill,35.22,0.64,1412834400hill,48.631959,-110.106321,0.55,,0,0,,0,,1021.95,MT,1412861567,1412901889,61.29,1412892000,36.86,1412859600,1412834400,10,93,7.17
