,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,53.42,1412197200,32.89,1412172000,0.18,lake,34.69,0.68,1412143200lake,47.642901,-114.083687,0.25,,0.0006,0.004,1412193600,0.15,rain,1016.13,MT,1412170600,1412212659,53.42,1412197200,38.36,1412172000,1412143200,9.19,253,10
0,2014-10-02 00:00:00,43.66,1412229600,28.74,1412251200,0.13,lake,29.86,0.7,1412229600lake,47.642901,-114.083687,0.29,,0.0043,0.0209,1412240400,0.6,rain,1022.68,MT,1412257082,1412298937,43.66,1412229600,33.01,1412312400,1412229600,9.2,334,5.03
0,2014-10-03 00:00:00,57.61,1412377200,21.04,1412341200,0.01,lake,26.37,0.59,1412316000lake,47.642901,-114.083687,0.33,,0,0,,0,,1029.02,MT,1412343565,1412385216,57.61,1412377200,26.55,1412341200,1412316000,10,237,7.47
0,2014-10-04 00:00:00,67.69,1412456400,41.26,1412402400,0.12,lake,35.46,0.48,1412402400lake,47.642901,-114.083687,0.36,,0,0,,0,,1019.78,MT,1412430048,1412471494,67.69,1412456400,46.76,1412402400,1412402400,10,266,11.03
0,2014-10-05 00:00:00,68.57,1412546400,43.42,1412517600,0.04,lake,38.82,0.54,1412488800lake,47.642901,-114.083687,0.4,,0,0,,0,,1017.52,MT,1412516532,1412557774,68.57,1412546400,46.75,1412514000,1412488800,9.96,273,7.26
0,2014-10-06 00:00:00,71.59,1412632800,51.34,1412604000,0.05,lake,41.77,0.53,1412575200lake,47.642901,-114.083687,0.44,,0,0,,0,,1012.68,MT,1412603015,1412644053,71.59,1412632800,51.34,1412604000,1412575200,10,262,11.38
0,2014-10-07 00:00:00,70.6,1412722800,44.56,1412690400,0.11,lake,41.21,0.59,1412661600lake,47.642901,-114.083687,0.48,,0,0,,0,,1013.28,MT,1412689499,1412730334,70.6,1412722800,44.56,1412690400,1412661600,10,140,1.49
0,2014-10-08 00:00:00,64.56,1412805600,44.57,1412773200,0.05,lake,40.72,0.65,1412748000lake,47.642901,-114.083687,0.51,,0.0001,0.0034,1412820000,0.12,rain,1013.66,MT,1412775984,1412816614,64.56,1412805600,44.57,1412773200,1412748000,10,354,0.87
0,2014-10-09 00:00:00,62.36,1412895600,39.89,1412856000,0.07,lake,39.46,0.67,1412834400lake,47.642901,-114.083687,0.55,,0.0001,0.0017,1412859600,0.04,rain,1018.26,MT,1412862468,1412902896,62.36,1412895600,41,1412863200,1412834400,10,25,1.14
