,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,54.68,1412200800,35.55,1412172000,0.16,lincoln,36.6,0.72,1412143200lincoln,48.552385,-115.463185,0.25,,0.0007,0.0055,1412193600,0.24,rain,1015.71,MT,1412170954,1412212967,54.68,1412200800,37.66,1412172000,1412143200,8.38,223,5.45
0,2014-10-02 00:00:00,50.22,1412287200,33.21,1412258400,0.03,lincoln,31.14,0.67,1412229600lincoln,48.552385,-115.463185,0.29,,0.0053,0.0266,1412244000,0.64,rain,1023.05,MT,1412257440,1412299242,50.22,1412287200,34.09,1412312400,1412229600,9.53,12,0.76
0,2014-10-03 00:00:00,56.06,1412377200,27.4,1412337600,0.01,lincoln,28.09,0.62,1412316000lincoln,48.552385,-115.463185,0.33,,0.0001,0.0013,1412344800,0.02,rain,1029.19,MT,1412343926,1412385517,56.06,1412377200,27.4,1412337600,1412316000,9.9,242,2.96
0,2014-10-04 00:00:00,64.4,1412460000,41.24,1412402400,0.13,lincoln,37.04,0.56,1412402400lincoln,48.552385,-115.463185,0.36,,0,0,,0,,1020.78,MT,1412430413,1412471792,64.4,1412460000,44.43,1412431200,1412402400,9.9,250,4.35
0,2014-10-05 00:00:00,66.93,1412550000,40.22,1412517600,0.05,lincoln,41.7,0.67,1412488800lincoln,48.552385,-115.463185,0.4,,0,0,,0,,1018.94,MT,1412516899,1412558068,66.93,1412550000,40.22,1412517600,1412488800,9.81,251,2.87
0,2014-10-06 00:00:00,69.6,1412629200,46.19,1412593200,0.06,lincoln,44.76,0.63,1412575200lincoln,48.552385,-115.463185,0.44,,0,0,,0,,1013.36,MT,1412603386,1412644344,69.6,1412629200,49.2,1412600400,1412575200,9.92,241,5.03
0,2014-10-07 00:00:00,70.72,1412719200,44.14,1412690400,0.07,lincoln,45.92,0.7,1412661600lincoln,48.552385,-115.463185,0.48,,0,0,,0,,1012.96,MT,1412689874,1412730621,70.72,1412719200,44.14,1412690400,1412661600,9.77,157,0.46
0,2014-10-08 00:00:00,62.91,1412805600,45.25,1412773200,0.06,lincoln,44.52,0.75,1412748000lincoln,48.552385,-115.463185,0.51,,0.0001,0.0018,1412780400,0.04,rain,1013.72,MT,1412776361,1412816899,62.91,1412805600,45.25,1412773200,1412748000,9.69,139,1.07
0,2014-10-09 00:00:00,66.02,1412892000,40.36,1412863200,0.05,lincoln,41.93,0.71,1412834400lincoln,48.552385,-115.463185,0.55,,0.0126,0.1514,1412877600,0.82,rain,1017.97,MT,1412862849,1412903177,66.02,1412892000,40.36,1412863200,1412834400,9.75,345,1.26
