,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,55.14,1412200800,36.26,1412164800,0.2,meagher,34.44,0.64,1412143200meagher,46.5857,-110.92174,0.25,,0.0002,0.0017,1412172000,0.04,rain,1014.68,MT,1412169815,1412211927,55.14,1412200800,41.85,1412168400,1412143200,10,265,11.2
0,2014-10-02 00:00:00,36.69,1412240400,21.76,1412308800,0.12,meagher,28.52,0.73,1412229600meagher,46.5857,-110.92174,0.29,,0.0024,0.016,1412272800,0.57,rain,1023.58,MT,1412256293,1412298209,42.25,1412240400,28.59,1412312400,1412229600,8.9,309,9.12
0,2014-10-03 00:00:00,57.81,1412377200,19.3,1412341200,0.03,meagher,24.6,0.56,1412316000meagher,46.5857,-110.92174,0.33,,0,0,,0,,1029.1,MT,1412342772,1412384491,57.81,1412377200,25.39,1412330400,1412316000,10,249,7.5
0,2014-10-04 00:00:00,69.2,1412456400,43.4,1412409600,0.16,meagher,33.79,0.41,1412402400meagher,46.5857,-110.92174,0.36,,0,0,,0,,1017.58,MT,1412429252,1412470773,69.2,1412456400,48.2,1412402400,1412402400,10,276,13.41
0,2014-10-05 00:00:00,67.16,1412542800,47.24,1412568000,0.06,meagher,38.78,0.52,1412488800meagher,46.5857,-110.92174,0.4,,0,0,,0,,1016.22,MT,1412515731,1412557056,67.16,1412542800,48.62,1412568000,1412488800,9.97,285,8.78
0,2014-10-06 00:00:00,72.92,1412632800,44.25,1412578800,0.08,meagher,39.39,0.47,1412575200meagher,46.5857,-110.92174,0.44,,0,0,,0,,1010.84,MT,1412602211,1412643340,72.92,1412632800,47.9,1412575200,1412575200,10,272,12.78
0,2014-10-07 00:00:00,68.26,1412719200,45,1412690400,0.13,meagher,39.88,0.55,1412661600meagher,46.5857,-110.92174,0.48,,0,0,,0,,1013.88,MT,1412688692,1412729624,68.26,1412719200,45.91,1412690400,1412661600,9.94,124,1.22
0,2014-10-08 00:00:00,68.58,1412802000,44.73,1412758800,0.08,meagher,41.55,0.61,1412748000meagher,46.5857,-110.92174,0.51,,0,0,,0,,1014.16,MT,1412775172,1412815908,68.58,1412802000,46.32,1412755200,1412748000,9.99,293,0.92
0,2014-10-09 00:00:00,58.52,1412892000,41.44,1412859600,0.16,meagher,40.75,0.73,1412834400meagher,46.5857,-110.92174,0.55,,0,0,,0,,1019.91,MT,1412861653,1412902194,58.52,1412892000,41.44,1412859600,1412834400,10,87,2.29
0,2014-10-10 00:00:00,65.85,1412978400,32.99,1412946000,0.03,meagher,39.72,0.71,1412920800meagher,46.5857,-110.92174,0.58,,0,0,,0,,1017.98,MT,1412948134,1412988480,65.85,1412978400,36.79,1412946000,1412920800,9.82,195,4.1
0,2014-10-11 00:00:00,62.54,1413061200,40.29,1413090000,0.18,meagher,36.7,0.55,1413007200meagher,46.5857,-110.92174,0.62,,0.0031,0.0398,1413079200,0.68,rain,1009.85,MT,1413034616,1413074766,62.54,1413061200,45.14,1413010800,1413007200,9.94,248,11.57
0,2014-10-12 00:00:00,52.37,1413147600,32.84,1413176400,0.27,meagher,34.95,0.65,1413093600meagher,46.5857,-110.92174,0.65,,0.0016,0.0087,1413162000,0.46,rain,1016.45,MT,1413121098,1413161053,52.37,1413147600,38.68,1413176400,1413093600,9.99,268,10.03
0,2014-10-13 00:00:00,59.03,1413237600,29.33,1413201600,0.05,meagher,31.43,0.56,1413180000meagher,46.5857,-110.92174,0.68,,0,0,,0,,1019.39,MT,1413207580,1413247342,59.03,1413237600,35.99,1413201600,1413180000,10,219,10.31
