,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,55.77,1412200800,34.61,1412172000,0.16,mineral,38.2,0.74,1412143200mineral,47.154909,-115.064849,0.25,,0.001,0.0206,1412143200,0.6,rain,1017.83,MT,1412170824,1412212907,55.77,1412200800,38.11,1412172000,1412143200,8.82,230,4.38
0,2014-10-02 00:00:00,58.43,1412287200,38.11,1412258400,0.05,mineral,32.37,0.59,1412229600mineral,47.154909,-115.064849,0.29,,0,0,,0,,1022.05,MT,1412257304,1412299186,58.43,1412287200,38.11,1412258400,1412229600,9.92,294,2.35
0,2014-10-03 00:00:00,61.18,1412373600,29.57,1412341200,0.01,mineral,28.98,0.55,1412316000mineral,47.154909,-115.064849,0.33,,0,0,,0,,1028.09,MT,1412343785,1412385466,61.18,1412373600,33.23,1412337600,1412316000,9.96,100,1.62
0,2014-10-04 00:00:00,68.62,1412460000,40.31,1412413200,0.11,mineral,35.76,0.54,1412402400mineral,47.154909,-115.064849,0.36,,0,0,,0,,1022.06,MT,1412430267,1412471747,68.62,1412460000,41.46,1412431200,1412402400,9.87,235,0.94
0,2014-10-05 00:00:00,70.94,1412546400,45,1412517600,0.07,mineral,41.81,0.6,1412488800mineral,47.154909,-115.064849,0.4,,0,0,,0,,1018.58,MT,1412516748,1412558028,70.94,1412546400,45,1412517600,1412488800,9.96,299,0.94
0,2014-10-06 00:00:00,74.81,1412632800,45.54,1412600400,0.03,mineral,44.58,0.62,1412575200mineral,47.154909,-115.064849,0.44,,0,0,,0,,1014.83,MT,1412603230,1412644309,74.81,1412632800,46.16,1412604000,1412575200,10,207,2.61
0,2014-10-07 00:00:00,75.53,1412719200,48.16,1412690400,0.05,mineral,46.12,0.62,1412661600mineral,47.154909,-115.064849,0.48,,0,0,,0,,1012.41,MT,1412689713,1412730591,75.53,1412719200,48.16,1412690400,1412661600,9.93,237,0.97
0,2014-10-08 00:00:00,68.04,1412805600,44.48,1412773200,0.03,mineral,43.53,0.64,1412748000mineral,47.154909,-115.064849,0.51,,0,0,,0,,1012.49,MT,1412776195,1412816874,68.04,1412805600,47.44,1412776800,1412748000,9.94,202,1.1
0,2014-10-09 00:00:00,69.42,1412892000,43.71,1412859600,0.03,mineral,40.44,0.6,1412834400mineral,47.154909,-115.064849,0.55,,0,0,,0,,1015.56,MT,1412862678,1412903157,69.42,1412892000,43.71,1412859600,1412834400,9.87,1,1.05
0,2014-10-10 00:00:00,68.74,1412978400,41.62,1412949600,0.02,mineral,40.26,0.63,1412920800mineral,47.154909,-115.064849,0.58,,0,0,,0,,1016.18,MT,1412949161,1412989441,68.74,1412978400,41.62,1412949600,1412920800,9.52,168,0.97
0,2014-10-11 00:00:00,58.99,1413057600,44.23,1413090000,0.24,mineral,42.07,0.66,1413007200mineral,47.154909,-115.064849,0.62,,0.0052,0.0265,1413068400,0.63,rain,1012.21,MT,1413035645,1413075726,58.99,1413057600,46.69,1413090000,1413007200,9.51,239,7.08
0,2014-10-12 00:00:00,55.45,1413151200,36.94,1413115200,0.21,mineral,38.32,0.73,1413093600mineral,47.154909,-115.064849,0.65,,0.0004,0.0052,1413100800,0.22,rain,1019.92,MT,1413122129,1413162011,55.45,1413151200,39.93,1413122400,1413093600,8.87,235,3.68
0,2014-10-13 00:00:00,64.25,1413237600,41.35,1413208800,0.09,mineral,37.64,0.62,1413180000mineral,47.154909,-115.064849,0.68,,0,0,,0,,1016.42,MT,1413208613,1413248297,64.25,1413237600,41.35,1413208800,1413180000,9.83,122,3.6
0,2014-10-14 00:00:00,59.14,1413320400,47.02,1413291600,0.08,mineral,38.69,0.59,1413266400mineral,47.154909,-115.064849,0.72,,0,0.0011,1413349200,0,,1008.25,MT,1413295098,1413334584,59.14,1413320400,48.26,1413295200,1413266400,9.98,197,1.65
0,2014-10-15 00:00:00,50.31,1413396000,41.58,1413432000,0.21,mineral,41.34,0.79,1413352800mineral,47.154909,-115.064849,0.75,,0.0074,0.0361,1413399600,0.67,rain,1005.29,MT,1413381583,1413420872,50.31,1413396000,45.19,1413435600,1413352800,8.83,212,3.91
0,2014-10-16 00:00:00,53.73,1413496800,38.14,1413522000,0.11,mineral,38.71,0.79,1413439200mineral,47.154909,-115.064849,0.78,,0,0,,0,,1018.81,MT,1413468068,1413507161,53.73,1413496800,39.32,1413468000,1413439200,9.81,128,1.74
0,2014-10-17 00:00:00,57.29,1413583200,31.31,1413554400,0.09,mineral,37.2,0.74,1413525600mineral,47.154909,-115.064849,0.81,,0,0,,0,,1015.29,MT,1413554554,1413593450,57.29,1413583200,35.61,1413550800,1413525600,9.67,84,3.65
0,2014-10-18 00:00:00,60.92,1413669600,44.73,1413626400,0.19,mineral,42.91,0.75,1413612000mineral,47.154909,-115.064849,0.84,,0.0002,0.002,1413644400,0.05,rain,1015.77,MT,1413641040,1413679741,60.92,1413669600,44.87,1413633600,1413612000,9.78,173,1.11
0,2014-10-19 00:00:00,66.46,1413756000,40.24,1413716400,0.03,mineral,42.7,0.73,1413698400mineral,47.154909,-115.064849,0.87,,0,0,,0,,1013.62,MT,1413727527,1413766032,66.46,1413756000,43.41,1413723600,1413698400,9.07,83,4.44
0,2014-10-20 00:00:00,66.84,1413842400,39.17,1413813600,0.05,mineral,40.02,0.65,1413784800mineral,47.154909,-115.064849,0.9,,0,0,,0,,1007.93,MT,1413814014,1413852325,66.84,1413842400,41.48,1413813600,1413784800,9.16,273,0.52
0,2014-10-21 00:00:00,50.75,1413928800,40.17,1413950400,0.28,mineral,42.49,0.83,1413871200mineral,47.154909,-115.064849,0.93,,0.0071,0.0387,1413900000,0.68,rain,1011.46,MT,1413900501,1413938618,50.75,1413928800,42.71,1413954000,1413871200,8.3,226,4.04
0,2014-10-22 00:00:00,55.78,1414015200,34.67,1413986400,0.18,mineral,39.24,0.76,1413957600mineral,47.154909,-115.064849,0.96,,0.0024,0.0112,1414029600,0.52,rain,1013.74,MT,1413986988,1414024913,55.78,1414015200,38.12,1413982800,1413957600,9.07,144,4.33
0,2014-10-23 00:00:00,52.5,1414094400,42.3,1414126800,0.39,mineral,44.49,0.83,1414044000mineral,47.154909,-115.064849,0.99,,0.0175,0.0533,1414098000,0.72,rain,1010.14,MT,1414073476,1414111209,52.5,1414094400,46.03,1414126800,1414044000,8.14,191,6.6
0,2014-10-24 00:00:00,50.49,1414184400,39.71,1414159200,0.22,mineral,41.36,0.85,1414130400mineral,47.154909,-115.064849,0.03,,0.0027,0.0088,1414206000,0.46,rain,1017.43,MT,1414159965,1414197506,50.49,1414184400,41.45,1414159200,1414130400,9.32,140,2.53
0,2014-10-25 00:00:00,57.8,1414278000,39.4,1414242000,0.06,mineral,42.07,0.79,1414216800mineral,47.154909,-115.064849,0.06,,0.0006,0.0066,1414299600,0.31,rain,1007.34,MT,1414246453,1414283804,57.8,1414278000,42.72,1414245600,1414216800,8.29,133,2.79
0,2014-10-26 00:00:00,45.19,1414303200,35.34,1414386000,0.19,mineral,35.86,0.71,1414303200mineral,47.154909,-115.064849,0.09,,0.0021,0.0096,1414364400,0.5,rain,1010.41,MT,1414332942,1414370104,49.92,1414303200,39.79,1414386000,1414303200,9.06,234,11.35
0,2014-10-27 00:00:00,42.01,1414447200,32.01,1414414800,0.23,mineral,33,0.8,1414389600mineral,47.154909,-115.064849,0.13,,0.0008,0.006,1414393200,0.27,rain,1020.63,MT,1414419431,1414456405,45,1414447200,32.96,1414472400,1414389600,8.77,228,3.79
0,2014-10-28 00:00:00,43.09,1414533600,28.38,1414501200,0.36,mineral,33.81,0.84,1414476000mineral,47.154909,-115.064849,0.16,,0.0052,0.0423,1414558800,0.69,rain,1020.88,MT,1414505920,1414542707,44.3,1414533600,31.88,1414479600,1414476000,8.5,96,3.49
0,2014-10-29 00:00:00,51.44,1414620000,39.13,1414580400,0.34,mineral,42.29,0.89,1414562400mineral,47.154909,-115.064849,0.2,,0.006,0.0415,1414562400,0.69,rain,1020.37,MT,1414592410,1414629010,51.44,1414620000,41.88,1414645200,1414562400,6.72,216,1.95
0,2014-10-30 00:00:00,51.25,1414706400,38.84,1414663200,0.2,mineral,41.91,0.87,1414648800mineral,47.154909,-115.064849,0.24,,0,0,,0,,1019.4,MT,1414678899,1414715315,51.25,1414706400,42.07,1414648800,1414648800,7.04,80,4.45
0,2014-10-31 00:00:00,53.92,1414792800,41.63,1414742400,0.15,mineral,41.93,0.83,1414735200mineral,47.154909,-115.064849,0.28,,0.0001,0.0009,1414742400,0.01,rain,1008.47,MT,1414765389,1414801622,53.92,1414792800,42.52,1414764000,1414735200,8.42,140,0.8
0,2014-11-01 00:00:00,42.18,1414879200,38.02,1414900800,0.38,mineral,41.37,0.92,1414821600mineral,47.154909,-115.064849,0.31,,0.0093,0.038,1414890000,0.68,rain,1004.35,MT,1414851879,1414887930,45.32,1414879200,41.24,1414854000,1414821600,6.3,301,3.8
0,2014-11-02 00:00:00,39.58,1414965600,29.53,1414936800,0.19,mineral,33.68,0.81,1414908000mineral,47.154909,-115.064849,0.35,,0.0107,0.0461,1414908000,0.7,rain,1014.54,MT,1414938370,1414974239,44,1414965600,34.89,1414940400,1414908000,8.56,235,5.12
0,2014-11-03 00:00:00,42.75,1415052000,33.62,1414998000,0.67,mineral,37.19,0.88,1414998000mineral,47.154909,-115.064849,0.39,,0.0012,0.0035,1415073600,0.12,rain,1022.71,MT,1415024860,1415060550,44.67,1415052000,35.77,1415001600,1414998000,7.63,163,3.48
0,2014-11-04 00:00:00,43.76,1415145600,38.43,1415109600,0.46,mineral,41.5,0.86,1415084400mineral,47.154909,-115.064849,0.43,,0.0078,0.023,1415113200,0.62,rain,1019.67,MT,1415111350,1415146863,47.98,1415145600,42.97,1415109600,1415084400,7.69,199,8.03
0,2014-11-05 00:00:00,51.92,1415221200,40.72,1415199600,0.25,mineral,42.38,0.84,1415170800mineral,47.154909,-115.064849,0.46,,0.0001,0.0009,1415235600,0.01,rain,1025.25,MT,1415197841,1415233177,51.92,1415221200,43.17,1415199600,1415170800,9.63,168,2.98
0,2014-11-06 00:00:00,56.46,1415311200,42.34,1415286000,0.24,mineral,43.85,0.8,1415257200mineral,47.154909,-115.064849,0.5,,0.0035,0.018,1415336400,0.58,rain,1017.32,MT,1415284331,1415319493,56.46,1415311200,45.83,1415278800,1415257200,9.57,200,2.47
0,2014-11-07 00:00:00,48.98,1415397600,32.84,1415422800,0.1,mineral,35.87,0.75,1415343600mineral,47.154909,-115.064849,0.53,,0,0.0009,1415343600,0,,1026.41,MT,1415370821,1415405810,49.52,1415397600,34.64,1415426400,1415343600,9.72,219,4.15
0,2014-11-08 00:00:00,47.63,1415484000,30.04,1415462400,0.05,mineral,32.91,0.82,1415430000mineral,47.154909,-115.064849,0.57,,0,0,,0,,1024.78,MT,1415457312,1415492130,47.63,1415484000,31.4,1415455200,1415430000,8.04,169,1.44
0,2014-11-09 00:00:00,39.86,1415574000,29.81,1415599200,0.3,mineral,36.67,0.87,1415516400mineral,47.154909,-115.064849,0.6,,0.0184,0.0475,1415570400,0.71,rain,1007.56,MT,1415543802,1415578451,42.23,1415574000,35.67,1415599200,1415516400,7.51,249,2.88
0,2014-11-10 00:00:00,26.44,1415602800,12.44,1415685600,0.24,mineral,21.77,0.74,1415602800mineral,47.154909,-115.064849,0.63,0.479,0.0024,0.0203,1415610000,0.6,snow,1020.16,MT,1415630292,1415664774,34.69,1415602800,22.9,1415685600,1415602800,8.76,38,5.31
0,2014-11-11 00:00:00,8.5,1415743200,-0.62,1415718000,0.07,mineral,3.88,0.55,1415689200mineral,47.154909,-115.064849,0.66,,0,0,,0,,1034.44,MT,1415716782,1415751099,22.21,1415743200,13.29,1415718000,1415689200,9.9,64,11.74
0,2014-11-12 00:00:00,12.7,1415829600,-3.15,1415804400,0,mineral,1.99,0.57,1415775600mineral,47.154909,-115.064849,0.69,,0,0,,0,,1035.79,MT,1415803271,1415837426,22.59,1415829600,8.96,1415804400,1415775600,9.96,80,7.66
0,2014-11-13 00:00:00,19.17,1415916000,-0.76,1415883600,0.02,mineral,4.81,0.63,1415862000mineral,47.154909,-115.064849,0.72,,0,0,,0,,1025.14,MT,1415889761,1415923754,24.1,1415916000,8.54,1415890800,1415862000,9.74,79,4.76
0,2014-11-14 00:00:00,16.85,1416002400,4.07,1416031200,0.07,mineral,9.16,0.69,1415948400mineral,47.154909,-115.064849,0.75,0.03,0.0001,0.0009,1416020400,0.01,snow,1021.6,MT,1415976250,1416010085,25.48,1416002400,13.4,1415970000,1415948400,9.52,21,4.76
0,2014-11-15 00:00:00,25.46,1416088800,1.4,1416060000,0.01,mineral,6.11,0.67,1416034800mineral,47.154909,-115.064849,0.78,,0,0,,0,,1033.63,MT,1416062738,1416096418,25.46,1416088800,7.92,1416063600,1416034800,9.57,57,0.88
0,2014-11-16 00:00:00,27.58,1416175200,3.96,1416132000,0.03,mineral,8.93,0.7,1416121200mineral,47.154909,-115.064849,0.81,,0,0,,0,,1039.11,MT,1416149226,1416182753,27.58,1416175200,10.14,1416150000,1416121200,9.58,145,0.99
0,2014-11-17 00:00:00,30.06,1416261600,11.69,1416236400,0.01,mineral,10.94,0.71,1416207600mineral,47.154909,-115.064849,0.84,,0,0,,0,,1035.78,MT,1416235713,1416269090,30.06,1416261600,11.69,1416236400,1416207600,9.71,93,0.78
0,2014-11-18 00:00:00,30.75,1416344400,17.35,1416294000,0.05,mineral,15.14,0.7,1416294000mineral,47.154909,-115.064849,0.88,,0,0,,0,,1028.58,MT,1416322200,1416355430,30.75,1416344400,17.35,1416294000,1416294000,9.66,51,0.93
0,2014-11-19 00:00:00,31.78,1416434400,20.36,1416405600,0.1,mineral,18.29,0.69,1416380400mineral,47.154909,-115.064849,0.91,,0,0,,0,,1022.7,MT,1416408687,1416441771,35.17,1416434400,20.36,1416405600,1416380400,9.49,90,1.8
0,2014-11-20 00:00:00,29.32,1416524400,22.56,1416492000,0.43,mineral,25.02,0.82,1416466800mineral,47.154909,-115.064849,0.94,0.149,0.0007,0.0037,1416506400,0.14,snow,1018.01,MT,1416495172,1416528115,32.91,1416524400,27.3,1416474000,1416466800,6.82,137,0.95
0,2014-11-21 00:00:00,33.55,1416603600,26.91,1416632400,0.48,mineral,31.1,0.89,1416553200mineral,47.154909,-115.064849,0.97,,0.0042,0.0304,1416628800,0.65,rain,1010.79,MT,1416581657,1416614461,37.44,1416603600,30.77,1416574800,1416553200,5.17,157,3.12
0,2014-11-22 00:00:00,32.33,1416686400,26.96,1416668400,0.28,mineral,31.43,0.83,1416639600mineral,47.154909,-115.064849,0.01,,0.0057,0.0164,1416657600,0.57,rain,1003.95,MT,1416668141,1416700809,39.17,1416686400,32.02,1416722400,1416639600,8.46,236,7.65
0,2014-11-23 00:00:00,29.72,1416776400,23.72,1416740400,0.31,mineral,29.51,0.84,1416726000mineral,47.154909,-115.064849,0.04,,0.0021,0.0142,1416794400,0.55,rain,1019.23,MT,1416754624,1416787160,37.22,1416776400,30.05,1416740400,1416726000,7.84,225,7.38
0,2014-11-24 00:00:00,31.03,1416859200,23.3,1416841200,0.26,mineral,28.49,0.83,1416812400mineral,47.154909,-115.064849,0.08,,0.0012,0.0133,1416891600,0.54,rain,1025.86,MT,1416841106,1416873513,36.07,1416859200,29.04,1416841200,1416812400,8.23,203,4.49
0,2014-11-25 00:00:00,30.43,1416913200,28.89,1416898800,0.73,mineral,33.74,0.92,1416898800mineral,47.154909,-115.064849,0.11,,0.0279,0.1495,1416927600,0.82,rain,1021.14,MT,1416927587,1416959869,37.37,1416913200,33.48,1416978000,1416898800,5.46,261,2.34
0,2014-11-26 00:00:00,39.25,1417035600,29.44,1417021200,0.24,mineral,35.09,0.93,1416985200mineral,47.154909,-115.064849,0.15,,0.0035,0.0113,1416996000,0.52,rain,1021.13,MT,1417014067,1417046227,39.25,1417035600,34.64,1416985200,1416985200,4.1,234,1.88
0,2014-11-27 00:00:00,44.67,1417122000,34.81,1417075200,0.35,mineral,38.79,0.81,1417071600mineral,47.154909,-115.064849,0.19,,0.0024,0.0098,1417147200,0.5,rain,1012.7,MT,1417100546,1417132587,48.58,1417122000,38.88,1417075200,1417071600,8.21,204,8.18
0,2014-11-28 00:00:00,41.27,1417204800,35.17,1417240800,0.3,mineral,39.21,0.78,1417158000mineral,47.154909,-115.064849,0.23,,0.0094,0.0219,1417240800,0.61,rain,999.1,MT,1417187023,1417218950,47.95,1417204800,43.31,1417240800,1417158000,8.2,212,14.19
0,2014-11-29 00:00:00,36.49,1417244400,6.24,1417320000,0.25,mineral,21.89,0.78,1417244400mineral,47.154909,-115.064849,0.26,1.909,0.0089,0.0431,1417244400,0.69,snow,1002.18,MT,1417273500,1417305316,42.47,1417244400,15.78,1417327200,1417244400,7.71,307,6.88
0,2014-11-30 00:00:00,21.86,1417384800,3.57,1417352400,0.05,mineral,8.25,0.75,1417330800mineral,47.154909,-115.064849,0.3,,0,0,,0,,1026.1,MT,1417359974,1417391684,21.86,1417384800,9.79,1417359600,1417330800,9.76,77,1.05
0,2014-12-01 00:00:00,21.9,1417474800,4.12,1417420800,0.33,mineral,12.44,0.81,1417417200mineral,47.154909,-115.064849,0.34,0.166,0.0005,0.0039,1417467600,0.15,snow,1023.92,MT,1417446448,1417478055,21.9,1417474800,10.37,1417424400,1417417200,8.51,91,0.51
0,2014-12-02 00:00:00,28.25,1417557600,13.39,1417582800,0.1,mineral,16.56,0.8,1417503600mineral,47.154909,-115.064849,0.37,,0,0,,0,,1024.55,MT,1417532920,1417564429,28.25,1417557600,18.11,1417518000,1417503600,8.99,60,0.99
0,2014-12-03 00:00:00,28.97,1417644000,14.46,1417611600,0.1,mineral,17.46,0.78,1417590000mineral,47.154909,-115.064849,0.41,,0,0,,0,,1018.44,MT,1417619390,1417650805,28.97,1417644000,18.71,1417608000,1417590000,9.38,61,2.54
0,2014-12-04 00:00:00,30.33,1417755600,22.88,1417719600,0.89,mineral,25.66,0.89,1417676400mineral,47.154909,-115.064849,0.45,1.423,0.0059,0.0146,1417698000,0.56,snow,1015.84,MT,1417705859,1417737184,30.33,1417755600,26.22,1417687200,1417676400,5.52,22,1.71
0,2014-12-05 00:00:00,35.95,1417813200,27.14,1417770000,0.34,mineral,30.98,0.94,1417762800mineral,47.154909,-115.064849,0.48,0.331,0.0016,0.0097,1417762800,0.5,snow,1020.96,MT,1417792326,1417823566,35.95,1417813200,30.37,1417777200,1417762800,4.8,73,2.13
0,2014-12-06 00:00:00,33.64,1417903200,26.98,1417860000,0.28,mineral,32.82,0.94,1417849200mineral,47.154909,-115.064849,0.52,,0.0074,0.0352,1417885200,0.67,rain,1020.28,MT,1417878791,1417909950,37.32,1417903200,32.37,1417863600,1417849200,5.99,162,2.11
0,2014-12-07 00:00:00,35.08,1417986000,27.9,1418018400,0.11,mineral,33.26,0.95,1417935600mineral,47.154909,-115.064849,0.55,,0.0001,0.002,1417939200,0.05,rain,1026.72,MT,1417965254,1417996337,38.08,1417986000,32.74,1417964400,1417935600,4.84,87,2.16
0,2014-12-08 00:00:00,37.75,1418076000,27.04,1418043600,0.22,mineral,32.22,0.91,1418022000mineral,47.154909,-115.064849,0.58,,0.0023,0.055,1418068800,0.72,rain,1023.5,MT,1418051715,1418082727,39.46,1418076000,31.58,1418050800,1418022000,7.32,89,3.33
0,2014-12-09 00:00:00,41.44,1418162400,30.83,1418112000,0.35,mineral,35.37,0.89,1418108400mineral,47.154909,-115.064849,0.61,,0.0028,0.0182,1418173200,0.59,rain,1019.28,MT,1418138175,1418169120,41.44,1418162400,35.58,1418137200,1418108400,7.21,130,2.71
0,2014-12-10 00:00:00,42.13,1418274000,35.48,1418209200,0.17,mineral,37.15,0.83,1418194800mineral,47.154909,-115.064849,0.64,,0.0003,0.0023,1418274000,0.06,rain,1010.41,MT,1418224632,1418255516,46.82,1418274000,37.97,1418223600,1418194800,7.69,118,3.4
0,2014-12-11 00:00:00,43.83,1418338800,35.99,1418310000,0.25,mineral,38.4,0.84,1418281200mineral,47.154909,-115.064849,0.67,,0.003,0.0141,1418338800,0.55,rain,1002.57,MT,1418311087,1418341914,45.43,1418338800,39.03,1418306400,1418281200,8.78,122,2.14
0,2014-12-12 00:00:00,44.53,1418367600,32.29,1418450400,0.3,mineral,37.31,0.9,1418367600mineral,47.154909,-115.064849,0.7,,0.005,0.0171,1418432400,0.58,rain,1005.26,MT,1418397540,1418428316,44.53,1418367600,36.86,1418450400,1418367600,7.17,263,2.38
0,2014-12-13 00:00:00,31.04,1418454000,29.94,1418482800,0.24,mineral,32.28,0.9,1418454000mineral,47.154909,-115.064849,0.73,,0.0044,0.0165,1418454000,0.57,rain,1017.65,MT,1418483991,1418514720,36.34,1418454000,32.19,1418536800,1418454000,6.71,245,3.34
0,2014-12-14 00:00:00,33.44,1418590800,23.07,1418623200,0.22,mineral,29.27,0.88,1418540400mineral,47.154909,-115.064849,0.76,,0,0.0008,1418547600,0,,1024.83,MT,1418570440,1418601127,36.78,1418590800,28.95,1418623200,1418540400,7.81,58,3.07
0,2014-12-15 00:00:00,28.94,1418677200,17.69,1418652000,0.04,mineral,24.72,0.84,1418626800mineral,47.154909,-115.064849,0.79,,0,0,,0,,1022.52,MT,1418656886,1418687537,35.03,1418677200,25.41,1418655600,1418626800,9.31,90,6.19
0,2014-12-16 00:00:00,29.54,1418763600,20.35,1418720400,0.4,mineral,24.8,0.81,1418713200mineral,47.154909,-115.064849,0.82,0.019,0.0001,0.0011,1418781600,0.02,snow,1017.47,MT,1418743329,1418773949,33.23,1418763600,27.47,1418720400,1418713200,8.96,72,3.92
0,2014-12-17 00:00:00,33.26,1418850000,24.9,1418832000,0.23,mineral,28.53,0.85,1418799600mineral,47.154909,-115.064849,0.85,,0,0,,0,,1016.14,MT,1418829771,1418860365,36.43,1418850000,29.88,1418828400,1418799600,9.19,71,3.6
