,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,55.32,1412200800,36.93,1412164800,0.26,musselshell,35.94,0.65,1412143200musselshell,46.505281,-108.439763,0.25,,0.0001,0.0019,1412146800,0.05,rain,1013.57,MT,1412169217,1412211334,55.32,1412200800,43.05,1412226000,1412143200,9.99,287,11.98
0,2014-10-02 00:00:00,36.13,1412236800,21.94,1412308800,0.16,musselshell,28.9,0.71,1412229600musselshell,46.505281,-108.439763,0.29,,0.0016,0.0109,1412269200,0.52,rain,1022.42,MT,1412255695,1412297616,42.06,1412236800,29.34,1412312400,1412229600,9.08,309,11.49
0,2014-10-03 00:00:00,55.03,1412377200,19.39,1412326800,0.04,musselshell,24.55,0.57,1412316000musselshell,46.505281,-108.439763,0.33,,0,0,,0,,1028.8,MT,1412342174,1412383899,55.03,1412377200,25.88,1412341200,1412316000,10,270,6.62
0,2014-10-04 00:00:00,68.21,1412456400,40.14,1412413200,0.15,musselshell,33.62,0.44,1412402400musselshell,46.505281,-108.439763,0.36,,0,0,,0,,1016.5,MT,1412428653,1412470181,68.21,1412456400,45.48,1412402400,1412402400,9.99,291,12.6
0,2014-10-05 00:00:00,66.04,1412542800,46.31,1412571600,0.16,musselshell,38.99,0.53,1412488800musselshell,46.505281,-108.439763,0.4,,0,0,,0,,1015.11,MT,1412515132,1412556464,66.04,1412542800,48.81,1412568000,1412488800,10,305,12.12
0,2014-10-06 00:00:00,72.73,1412629200,43.96,1412586000,0.11,musselshell,39.09,0.48,1412575200musselshell,46.505281,-108.439763,0.44,,0,0,,0,,1009.62,MT,1412601612,1412642748,72.73,1412629200,47.52,1412575200,1412575200,10,289,12.77
0,2014-10-07 00:00:00,65,1412719200,48.11,1412690400,0.21,musselshell,39.25,0.57,1412661600musselshell,46.505281,-108.439763,0.48,,0.0005,0.0048,1412668800,0.2,rain,1014.72,MT,1412688092,1412729032,65,1412719200,48.11,1412690400,1412661600,9.95,122,1.15
0,2014-10-08 00:00:00,69.06,1412802000,42.71,1412758800,0.12,musselshell,40.66,0.6,1412748000musselshell,46.505281,-108.439763,0.51,,0,0,,0,,1014.82,MT,1412774572,1412815317,69.06,1412802000,45.79,1412758800,1412748000,9.99,18,0.6
0,2014-10-09 00:00:00,58.44,1412892000,39.89,1412859600,0.19,musselshell,38.93,0.7,1412834400musselshell,46.505281,-108.439763,0.55,,0,0,,0,,1020.87,MT,1412861053,1412901603,58.44,1412892000,41.48,1412859600,1412834400,10,92,5.75
