,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,53.65,1412200800,38.02,1412172000,0.23,ravalli,34.91,0.67,1412143200ravalli,46.079298,-114.119065,0.25,,0.0013,0.0285,1412143200,0.64,rain,1017.58,MT,1412170571,1412212706,53.65,1412200800,40.8,1412172000,1412143200,9.65,272,4.3
0,2014-10-02 00:00:00,56.69,1412287200,35.12,1412247600,0.05,ravalli,31.02,0.61,1412229600ravalli,46.079298,-114.119065,0.29,,0.0002,0.0015,1412269200,0.03,rain,1022.24,MT,1412257048,1412298989,56.69,1412287200,37.86,1412244000,1412229600,9.76,295,2.92
0,2014-10-03 00:00:00,60.34,1412373600,25.85,1412337600,0,ravalli,28.31,0.6,1412316000ravalli,46.079298,-114.119065,0.33,,0,0,,0,,1029.58,MT,1412343525,1412385273,60.34,1412373600,28.67,1412344800,1412316000,9.94,164,0.91
0,2014-10-04 00:00:00,67.12,1412460000,33.85,1412431200,0.09,ravalli,34.71,0.57,1412402400ravalli,46.079298,-114.119065,0.36,,0,0,,0,,1022.74,MT,1412430003,1412471557,67.12,1412460000,36.98,1412431200,1412402400,9.79,266,3.88
0,2014-10-05 00:00:00,71.28,1412546400,47.08,1412517600,0.09,ravalli,40.45,0.55,1412488800ravalli,46.079298,-114.119065,0.4,,0,0,,0,,1018.4,MT,1412516481,1412557842,71.28,1412546400,47.08,1412517600,1412488800,9.93,293,3.39
0,2014-10-06 00:00:00,73.46,1412632800,43.95,1412589600,0.01,ravalli,41.67,0.58,1412575200ravalli,46.079298,-114.119065,0.44,,0,0,,0,,1015.21,MT,1412602959,1412644127,73.46,1412632800,46.56,1412604000,1412575200,10,269,5.35
0,2014-10-07 00:00:00,73.84,1412719200,41.43,1412686800,0.06,ravalli,41.91,0.59,1412661600ravalli,46.079298,-114.119065,0.48,,0,0,,0,,1014.03,MT,1412689437,1412730412,73.84,1412719200,44.46,1412690400,1412661600,10,247,3.05
0,2014-10-08 00:00:00,70.45,1412805600,35.5,1412776800,0.01,ravalli,39.28,0.6,1412748000ravalli,46.079298,-114.119065,0.51,,0,0,,0,,1013.96,MT,1412775916,1412816699,70.45,1412805600,40.43,1412776800,1412748000,10,200,1.34
0,2014-10-09 00:00:00,68.3,1412892000,38.86,1412859600,0.04,ravalli,37.92,0.59,1412834400ravalli,46.079298,-114.119065,0.55,,0,0,,0,,1016.02,MT,1412862395,1412902986,68.3,1412892000,41.43,1412859600,1412834400,9.97,245,1.05
0,2014-10-10 00:00:00,67.82,1412978400,38.19,1412949600,0.02,ravalli,38.38,0.64,1412920800ravalli,46.079298,-114.119065,0.58,,0,0,,0,,1017.06,MT,1412948875,1412989273,67.82,1412978400,38.19,1412949600,1412920800,9.9,173,0.61
0,2014-10-11 00:00:00,59.95,1413057600,39.37,1413032400,0.15,ravalli,38.97,0.69,1413007200ravalli,46.079298,-114.119065,0.62,,0.0056,0.0239,1413064800,0.62,rain,1013.21,MT,1413035355,1413075562,59.95,1413057600,43.19,1413036000,1413007200,9.53,245,4.99
0,2014-10-12 00:00:00,51.82,1413151200,38.55,1413118800,0.33,ravalli,35.82,0.7,1413093600ravalli,46.079298,-114.119065,0.65,,0.0006,0.007,1413100800,0.34,rain,1019.26,MT,1413121835,1413161851,51.82,1413151200,41.17,1413176400,1413093600,9.48,300,4.01
0,2014-10-13 00:00:00,61.1,1413237600,32.69,1413205200,0.06,ravalli,34.02,0.63,1413180000ravalli,46.079298,-114.119065,0.68,,0,0,,0,,1019.69,MT,1413208316,1413248141,61.1,1413237600,36.91,1413205200,1413180000,9.68,206,1.89
0,2014-10-14 00:00:00,65.05,1413324000,39.98,1413291600,0.01,ravalli,35.15,0.55,1413266400ravalli,46.079298,-114.119065,0.72,,0,0.001,1413309600,0,,1011.12,MT,1413294797,1413334431,65.05,1413324000,40.43,1413295200,1413266400,10,194,3.32
0,2014-10-15 00:00:00,59.78,1413403200,39.17,1413432000,0.1,ravalli,36.05,0.61,1413352800ravalli,46.079298,-114.119065,0.75,,0.0029,0.0166,1413403200,0.57,rain,1006.01,MT,1413381278,1413420723,59.78,1413403200,42.95,1413435600,1413352800,9.55,228,5.75
0,2014-10-16 00:00:00,53.29,1413496800,35.01,1413471600,0.1,ravalli,33,0.66,1413439200ravalli,46.079298,-114.119065,0.78,,0,0,,0,,1019.4,MT,1413467760,1413507015,53.29,1413496800,36.92,1413468000,1413439200,9.94,219,1.6
0,2014-10-17 00:00:00,59.06,1413586800,24.73,1413547200,0.03,ravalli,30.9,0.66,1413525600ravalli,46.079298,-114.119065,0.81,,0,0,,0,,1018,MT,1413554242,1413593309,59.06,1413586800,28.15,1413554400,1413525600,9.79,169,2.27
0,2014-10-18 00:00:00,64.71,1413669600,36.15,1413640800,0.06,ravalli,36.67,0.63,1413612000ravalli,46.079298,-114.119065,0.84,,0.0001,0.0008,1413644400,0.01,rain,1016.54,MT,1413640724,1413679603,64.71,1413669600,38.54,1413640800,1413612000,9.94,221,1.52
