,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,54.48,1412200800,33.33,1412172000,0.16,sanders,37.51,0.75,1412143200sanders,47.7565,-115.180295,0.25,,0.0009,0.0124,1412143200,0.53,rain,1017.37,MT,1412170866,1412212919,54.48,1412200800,37.45,1412172000,1412143200,8.48,228,5.69
0,2014-10-02 00:00:00,55.09,1412287200,36.86,1412258400,0.05,sanders,31.04,0.6,1412229600sanders,47.7565,-115.180295,0.29,,0.0016,0.0116,1412240400,0.52,rain,1021.78,MT,1412257349,1412299197,55.09,1412287200,36.86,1412258400,1412229600,9.9,305,2.56
0,2014-10-03 00:00:00,59.33,1412373600,32.16,1412337600,0.01,sanders,28,0.55,1412316000sanders,47.7565,-115.180295,0.33,,0,0,,0,,1028.02,MT,1412343832,1412385475,59.33,1412373600,32.16,1412337600,1412316000,10,213,2.06
0,2014-10-04 00:00:00,66.77,1412460000,40.08,1412409600,0.12,sanders,36.09,0.55,1412402400sanders,47.7565,-115.180295,0.36,,0,0,,0,,1021.8,MT,1412430316,1412471753,66.77,1412460000,42.54,1412431200,1412402400,9.98,236,3.48
0,2014-10-05 00:00:00,68.85,1412546400,44.31,1412517600,0.07,sanders,41.84,0.63,1412488800sanders,47.7565,-115.180295,0.4,,0,0,,0,,1018.59,MT,1412516800,1412558032,68.85,1412546400,44.31,1412517600,1412488800,9.94,251,2.51
0,2014-10-06 00:00:00,72.24,1412632800,45.25,1412600400,0.04,sanders,44.74,0.64,1412575200sanders,47.7565,-115.180295,0.44,,0,0,,0,,1014.62,MT,1412603284,1412644311,72.24,1412632800,46.95,1412604000,1412575200,9.99,224,4.58
0,2014-10-07 00:00:00,73.62,1412719200,47.32,1412690400,0.05,sanders,46.33,0.65,1412661600sanders,47.7565,-115.180295,0.48,,0,0,,0,,1012.32,MT,1412689768,1412730591,73.62,1412719200,47.32,1412690400,1412661600,9.91,233,1.16
0,2014-10-08 00:00:00,65.39,1412805600,44.77,1412773200,0.04,sanders,43.91,0.68,1412748000sanders,47.7565,-115.180295,0.51,,0,0,,0,,1012.42,MT,1412776253,1412816872,65.39,1412805600,47.08,1412773200,1412748000,9.91,194,0.98
0,2014-10-09 00:00:00,67.86,1412892000,42.64,1412859600,0.03,sanders,40.89,0.64,1412834400sanders,47.7565,-115.180295,0.55,,0,0,,0,,1015.59,MT,1412862738,1412903153,67.86,1412892000,42.64,1412859600,1412834400,9.83,353,1.3
