,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,55.92,1412200800,39.2,1412226000,0.37,sheridan,46.41,0.85,1412143200sheridan,48.705523,-104.533913,0.25,,0.0023,0.0187,1412143200,0.59,rain,1005.83,MT,1412168332,1412210344,55.92,1412200800,42.39,1412226000,1412143200,8.82,291,13.39
0,2014-10-02 00:00:00,35.94,1412262000,25.32,1412312400,0.18,sheridan,34,0.79,1412229600sheridan,48.705523,-104.533913,0.29,,0.0003,0.0028,1412280000,0.09,rain,1015.91,MT,1412254819,1412296618,43.67,1412262000,36.04,1412312400,1412229600,9.96,302,13.94
0,2014-10-03 00:00:00,35.37,1412370000,16.42,1412341200,0.07,sheridan,20.98,0.59,1412316000sheridan,48.705523,-104.533913,0.33,,0,0,,0,,1025.46,MT,1412341306,1412382892,43.84,1412370000,27.25,1412398800,1412316000,10,311,14.91
0,2014-10-04 00:00:00,53.24,1412456400,26.35,1412402400,0.24,sheridan,31.68,0.73,1412402400sheridan,48.705523,-104.533913,0.36,,0.0001,0.0019,1412481600,0.05,rain,1014.97,MT,1412427792,1412469167,53.24,1412456400,26.35,1412402400,1412402400,9.95,281,2.98
0,2014-10-05 00:00:00,54.45,1412546400,35.6,1412499600,0.2,sheridan,40.26,0.79,1412488800sheridan,48.705523,-104.533913,0.4,,0.0004,0.0072,1412510400,0.35,rain,1009.48,MT,1412514280,1412555442,54.45,1412546400,41,1412503200,1412488800,9.91,310,13.36
0,2014-10-06 00:00:00,58.88,1412632800,32.93,1412586000,0.14,sheridan,40.07,0.73,1412575200sheridan,48.705523,-104.533913,0.44,,0.0002,0.0022,1412640000,0.06,rain,1003.64,MT,1412600767,1412641718,58.88,1412632800,39.94,1412589600,1412575200,9.96,293,13.22
0,2014-10-07 00:00:00,59.07,1412715600,34.57,1412744400,0.05,sheridan,33.72,0.6,1412661600sheridan,48.705523,-104.533913,0.48,,0,0,,0,,1012.11,MT,1412687255,1412727995,59.07,1412715600,38.64,1412744400,1412661600,9.98,301,14.28
0,2014-10-08 00:00:00,51.39,1412802000,32.77,1412758800,0.19,sheridan,31.44,0.71,1412748000sheridan,48.705523,-104.533913,0.51,,0.0002,0.0016,1412787600,0.03,rain,1019.65,MT,1412773743,1412814272,51.39,1412802000,32.77,1412758800,1412748000,9.9,64,3.04
0,2014-10-09 00:00:00,56.02,1412892000,25.78,1412848800,0.04,sheridan,28.45,0.67,1412834400sheridan,48.705523,-104.533913,0.55,,0,0,,0,,1025.62,MT,1412860232,1412900549,56.02,1412892000,27.19,1412859600,1412834400,8.59,69,1.71
0,2014-10-10 00:00:00,64.22,1412974800,24.22,1412946000,0.03,sheridan,32.3,0.64,1412920800sheridan,48.705523,-104.533913,0.58,,0.0001,0.0008,1412949600,0.01,rain,1021.66,MT,1412946721,1412986827,64.22,1412974800,29.66,1412942400,1412920800,9.3,176,6.31
0,2014-10-11 00:00:00,70.81,1413061200,34.06,1413032400,0.04,sheridan,39.35,0.62,1413007200sheridan,48.705523,-104.533913,0.62,,0,0,,0,,1006.4,MT,1413033210,1413073106,70.81,1413061200,38.88,1413032400,1413007200,9.96,213,6.56
0,2014-10-12 00:00:00,61.38,1413140400,35.76,1413176400,0.2,sheridan,38.53,0.66,1413093600sheridan,48.705523,-104.533913,0.65,,0.0007,0.0047,1413115200,0.19,rain,1008.49,MT,1413119700,1413159386,61.38,1413140400,41.03,1413176400,1413093600,9.97,313,10.81
0,2014-10-13 00:00:00,63.15,1413234000,30.23,1413201600,0.04,sheridan,33.35,0.63,1413180000sheridan,48.705523,-104.533913,0.68,,0,0,,0,,1015.92,MT,1413206190,1413245667,63.15,1413234000,35.11,1413205200,1413180000,10,253,7.07
0,2014-10-14 00:00:00,69.72,1413324000,30.79,1413291600,0.02,sheridan,36.21,0.62,1413266400sheridan,48.705523,-104.533913,0.72,,0,0,,0,,1010.48,MT,1413292680,1413331948,69.72,1413324000,36.35,1413291600,1413266400,10,187,8.33
0,2014-10-15 00:00:00,62.43,1413406800,39.31,1413378000,0.03,sheridan,41.07,0.72,1413352800sheridan,48.705523,-104.533913,0.75,,0,0,,0,,1004.44,MT,1413379171,1413418230,62.43,1413406800,39.31,1413378000,1413352800,9.93,134,2.47
0,2014-10-16 00:00:00,50.44,1413496800,39,1413475200,0.27,sheridan,43.32,0.85,1413439200sheridan,48.705523,-104.533913,0.78,,0.0024,0.0133,1413471600,0.54,rain,1010.55,MT,1413465662,1413504513,50.44,1413496800,43.05,1413522000,1413439200,9.91,316,11.94
0,2014-10-17 00:00:00,50.03,1413583200,29.14,1413604800,0.19,sheridan,35.05,0.82,1413525600sheridan,48.705523,-104.533913,0.81,,0,0,,0,,1022.76,MT,1413552153,1413590797,50.03,1413583200,34.56,1413550800,1413525600,9.78,60,2.57
0,2014-10-18 00:00:00,64.28,1413669600,28.1,1413637200,0.02,sheridan,38.53,0.74,1413612000sheridan,48.705523,-104.533913,0.84,,0.0003,0.0029,1413615600,0.09,rain,1013.66,MT,1413638645,1413677082,64.28,1413669600,35.6,1413619200,1413612000,9,188,8.22
0,2014-10-19 00:00:00,68.47,1413752400,34.17,1413723600,0.01,sheridan,38.09,0.67,1413698400sheridan,48.705523,-104.533913,0.87,,0,0,,0,,1014.65,MT,1413725137,1413763368,68.47,1413752400,37.86,1413723600,1413698400,9.93,251,3.66
0,2014-10-20 00:00:00,74.49,1413838800,35.47,1413806400,0.02,sheridan,39.48,0.63,1413784800sheridan,48.705523,-104.533913,0.9,,0,0,,0,,1011.97,MT,1413811630,1413849655,74.49,1413838800,39.71,1413806400,1413784800,9.92,162,8.07
0,2014-10-21 00:00:00,73.04,1413925200,36.64,1413896400,0.03,sheridan,41.58,0.65,1413871200sheridan,48.705523,-104.533913,0.93,,0,0,,0,,1004.8,MT,1413898122,1413935943,73.04,1413925200,40.9,1413896400,1413871200,9.89,151,5.5
0,2014-10-22 00:00:00,59.32,1414015200,36.01,1414040400,0.11,sheridan,41.81,0.71,1413957600sheridan,48.705523,-104.533913,0.96,,0,0,,0,,1008.29,MT,1413984616,1414022232,59.32,1414015200,40.43,1414040400,1413957600,9.99,263,12.37
0,2014-10-23 00:00:00,63.98,1414098000,31,1414065600,0.03,sheridan,34.97,0.64,1414044000sheridan,48.705523,-104.533913,0.99,,0,0,,0,,1009.2,MT,1414071109,1414108522,63.98,1414098000,36.04,1414069200,1414044000,9.95,217,7.61
0,2014-10-24 00:00:00,59.67,1414180800,33.64,1414213200,0.07,sheridan,33.3,0.55,1414130400sheridan,48.705523,-104.533913,0.03,,0,0,,0,,1012.41,MT,1414157603,1414194813,59.67,1414180800,38.48,1414213200,1414130400,10,269,12.05
0,2014-10-25 00:00:00,61.36,1414270800,30.38,1414242000,0.01,sheridan,31.3,0.59,1414216800sheridan,48.705523,-104.533913,0.06,,0,0,,0,,1016.84,MT,1414244097,1414281106,61.36,1414270800,32.96,1414242000,1414216800,9.97,150,4.42
