,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,52.63,1412200800,34.02,1412226000,0.2,silver bow,30.36,0.62,1412143200silver bow,45.895959,-112.660222,0.25,,0.0002,0.0011,1412179200,0.02,rain,1016.61,MT,1412170216,1412212360,52.63,1412200800,37.64,1412154000,1412143200,9.99,271,6.78
0,2014-10-02 00:00:00,51.2,1412290800,32.44,1412244000,0.03,silver bow,27.59,0.6,1412229600silver bow,45.895959,-112.660222,0.29,,0.0003,0.0028,1412269200,0.09,rain,1022.18,MT,1412256692,1412298644,51.2,1412290800,33.06,1412312400,1412229600,9.75,303,4.61
0,2014-10-03 00:00:00,59.81,1412377200,19.12,1412337600,0.01,silver bow,24.21,0.6,1412316000silver bow,45.895959,-112.660222,0.33,,0,0,,0,,1030.33,MT,1412343169,1412384929,59.81,1412377200,23.21,1412344800,1412316000,10,229,1.93
0,2014-10-04 00:00:00,67.15,1412460000,28.59,1412431200,0.07,silver bow,32.72,0.53,1412402400silver bow,45.895959,-112.660222,0.36,,0,0,,0,,1021.76,MT,1412429646,1412471213,67.15,1412460000,36.81,1412431200,1412402400,9.99,263,7.64
0,2014-10-05 00:00:00,69.1,1412546400,43.06,1412517600,0.08,silver bow,37.1,0.5,1412488800silver bow,45.895959,-112.660222,0.4,,0,0,,0,,1017.74,MT,1412516123,1412557499,69.1,1412546400,45.4,1412517600,1412488800,9.97,291,5.86
0,2014-10-06 00:00:00,71.87,1412632800,42.63,1412589600,0.02,silver bow,37.79,0.5,1412575200silver bow,45.895959,-112.660222,0.44,,0,0,,0,,1014.26,MT,1412602601,1412643784,71.87,1412632800,46.05,1412600400,1412575200,10,275,7.94
0,2014-10-07 00:00:00,71.37,1412719200,38.42,1412686800,0.09,silver bow,38.61,0.57,1412661600silver bow,45.895959,-112.660222,0.48,,0,0,,0,,1014.72,MT,1412689079,1412730071,71.37,1412719200,40.95,1412690400,1412661600,9.99,227,2.86
0,2014-10-08 00:00:00,70.31,1412809200,32.59,1412776800,0.02,silver bow,36.33,0.59,1412748000silver bow,45.895959,-112.660222,0.51,,0,0,,0,,1014.95,MT,1412775557,1412816358,70.31,1412809200,36.62,1412776800,1412748000,9.99,191,1.48
0,2014-10-09 00:00:00,63.9,1412888400,35.36,1412856000,0.06,silver bow,37.62,0.65,1412834400silver bow,45.895959,-112.660222,0.55,,0,0,,0,,1017.41,MT,1412862036,1412902645,63.9,1412888400,37.79,1412856000,1412834400,9.99,134,1.15
0,2014-10-10 00:00:00,66.42,1412978400,31.4,1412942400,0.04,silver bow,37.05,0.68,1412920800silver bow,45.895959,-112.660222,0.58,,0,0,,0,,1017.79,MT,1412948515,1412988934,66.42,1412978400,34.35,1412949600,1412920800,9.89,204,2.44
0,2014-10-11 00:00:00,60.73,1413068400,35.22,1413018000,0.15,silver bow,35.26,0.64,1413007200silver bow,45.895959,-112.660222,0.62,,0.0027,0.0161,1413075600,0.57,rain,1012.65,MT,1413034994,1413075223,60.73,1413068400,40.27,1413018000,1413007200,9.78,239,7.13
0,2014-10-12 00:00:00,45.06,1413144000,35.24,1413172800,0.26,silver bow,32.02,0.65,1413093600silver bow,45.895959,-112.660222,0.65,,0.0009,0.0053,1413108000,0.23,rain,1018.03,MT,1413121474,1413161512,49.86,1413144000,38.14,1413176400,1413093600,9.97,294,7.15
0,2014-10-13 00:00:00,59.74,1413241200,27.92,1413205200,0.05,silver bow,29.85,0.59,1413180000silver bow,45.895959,-112.660222,0.68,,0,0,,0,,1020.59,MT,1413207954,1413247803,59.74,1413241200,33.77,1413194400,1413180000,9.98,214,7.03
0,2014-10-14 00:00:00,68.55,1413320400,31.57,1413295200,0.01,silver bow,30.76,0.49,1413266400silver bow,45.895959,-112.660222,0.72,,0,0,,0,,1012.16,MT,1413294434,1413334094,68.55,1413320400,38.96,1413295200,1413266400,10,191,9.38
0,2014-10-15 00:00:00,67.03,1413403200,33.8,1413435600,0.09,silver bow,30.93,0.47,1413352800silver bow,45.895959,-112.660222,0.75,,0.0002,0.0024,1413424800,0.07,rain,1005.32,MT,1413380915,1413420386,67.03,1413403200,40.11,1413435600,1413352800,9.89,228,7.7
0,2014-10-16 00:00:00,51.98,1413500400,29.89,1413522000,0.09,silver bow,27.25,0.55,1413439200silver bow,45.895959,-112.660222,0.78,,0,0,,0,,1019.08,MT,1413467396,1413506679,51.98,1413500400,33.53,1413522000,1413439200,9.99,240,4.53
0,2014-10-17 00:00:00,60.33,1413586800,19.23,1413554400,0,silver bow,25.47,0.6,1413525600silver bow,45.895959,-112.660222,0.81,,0,0,,0,,1019.47,MT,1413553877,1413592973,60.33,1413586800,24.39,1413554400,1413525600,9.98,185,3.82
0,2014-10-18 00:00:00,65.75,1413669600,28.94,1413637200,0.03,silver bow,31.09,0.54,1413612000silver bow,45.895959,-112.660222,0.84,,0,0,,0,,1016.68,MT,1413640359,1413679268,65.75,1413669600,35.29,1413640800,1413612000,9.99,235,3.52
