,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,56.44,1412197200,33.34,1412172000,0.17,teton,32.99,0.63,1412143200teton,47.819035,-112.281725,0.25,,0.0002,0.0018,1412164800,0.04,rain,1014.51,MT,1412170171,1412212223,56.44,1412197200,38.13,1412172000,1412143200,10,257,12.26
0,2014-10-02 00:00:00,39.59,1412229600,20.24,1412308800,0.2,teton,28.91,0.81,1412229600teton,47.819035,-112.281725,0.29,,0.0054,0.0245,1412269200,0.62,rain,1024.92,MT,1412256654,1412298500,43.33,1412229600,27.73,1412312400,1412229600,8.38,323,7.41
0,2014-10-03 00:00:00,60.37,1412377200,18.4,1412341200,0.04,teton,25.69,0.6,1412316000teton,47.819035,-112.281725,0.33,,0,0,,0,,1028.58,MT,1412343138,1412384778,60.37,1412377200,24,1412341200,1412316000,10,237,8.53
0,2014-10-04 00:00:00,70.55,1412456400,51.27,1412402400,0.16,teton,34.65,0.4,1412402400teton,47.819035,-112.281725,0.36,,0,0,,0,,1017.02,MT,1412429622,1412471056,70.55,1412456400,51.27,1412402400,1412402400,10,272,12.67
0,2014-10-05 00:00:00,69.26,1412546400,44.27,1412517600,0.02,teton,37.05,0.5,1412488800teton,47.819035,-112.281725,0.4,,0,0,,0,,1016.49,MT,1412516106,1412557335,69.26,1412546400,47.67,1412517600,1412488800,9.97,281,8.06
0,2014-10-06 00:00:00,73.44,1412632800,50.63,1412575200,0.08,teton,39.77,0.45,1412575200teton,47.819035,-112.281725,0.44,,0,0,,0,,1010.43,MT,1412602590,1412643614,73.44,1412632800,50.63,1412575200,1412575200,10,267,13.37
0,2014-10-07 00:00:00,69.46,1412719200,42.77,1412690400,0.12,teton,38.19,0.54,1412661600teton,47.819035,-112.281725,0.48,,0,0,,0,,1013.8,MT,1412689075,1412729893,69.46,1412719200,42.77,1412690400,1412661600,10,96,3.62
0,2014-10-08 00:00:00,67,1412802000,46.33,1412830800,0.09,teton,40.95,0.61,1412748000teton,47.819035,-112.281725,0.51,,0.0001,0.0021,1412820000,0.06,rain,1014.11,MT,1412775560,1412816174,67,1412802000,47.49,1412758800,1412748000,10,28,1.37
0,2014-10-09 00:00:00,56.12,1412895600,36.52,1412856000,0.2,teton,39.51,0.75,1412834400teton,47.819035,-112.281725,0.55,,0,0,,0,,1020.84,MT,1412862045,1412902455,56.12,1412895600,39.11,1412863200,1412834400,10,34,2.31
0,2014-10-10 00:00:00,68.62,1412978400,35.98,1412942400,0.04,teton,38.3,0.68,1412920800teton,47.819035,-112.281725,0.58,,0,0,,0,,1017.58,MT,1412948531,1412988736,68.62,1412978400,36.63,1412946000,1412920800,9.32,220,4.82
0,2014-10-11 00:00:00,61.03,1413054000,40.02,1413090000,0.17,teton,35.48,0.5,1413007200teton,47.819035,-112.281725,0.62,,0.0002,0.0018,1413079200,0.04,rain,1009,MT,1413035017,1413075018,61.03,1413054000,45.18,1413090000,1413007200,9.99,243,13.89
0,2014-10-12 00:00:00,55.18,1413151200,33.96,1413172800,0.18,teton,32.09,0.56,1413093600teton,47.819035,-112.281725,0.65,,0.0002,0.0022,1413144000,0.06,rain,1016.22,MT,1413121503,1413161301,55.18,1413151200,39.6,1413172800,1413093600,10,272,11.85
0,2014-10-13 00:00:00,60.54,1413230400,33.68,1413208800,0.04,teton,31.37,0.51,1413180000teton,47.819035,-112.281725,0.68,,0,0,,0,,1017.55,MT,1413207990,1413247585,60.54,1413230400,40.2,1413198000,1413180000,10,225,12.39
0,2014-10-14 00:00:00,73.07,1413320400,52.21,1413349200,0.05,teton,30.88,0.35,1413266400teton,47.819035,-112.281725,0.72,,0,0,,0,,1008.42,MT,1413294477,1413333870,73.07,1413320400,52.21,1413349200,1413266400,10,207,12.35
0,2014-10-15 00:00:00,65.53,1413403200,40.21,1413435600,0.13,teton,34.04,0.52,1413352800teton,47.819035,-112.281725,0.75,,0.0004,0.0033,1413421200,0.11,rain,1004.32,MT,1413380964,1413420155,65.53,1413403200,42.94,1413381600,1413352800,10,245,6.08
