,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,59.02,1412197200,31.39,1412164800,0.06,toole,34.06,0.63,1412143200toole,48.645052,-111.733493,0.25,,0.0002,0.0023,1412154000,0.06,rain,1012.34,MT,1412170060,1412212071,59.02,1412197200,37.51,1412164800,1412143200,10,262,12.25
0,2014-10-02 00:00:00,35.08,1412229600,21.34,1412265600,0,toole,28.95,0.8,1412229600toole,48.645052,-111.733493,0.29,,0.0068,0.0375,1412240400,0.68,rain,1024.24,MT,1412256547,1412298345,41.44,1412229600,27.69,1412308800,1412229600,8.38,319,11.15
0,2014-10-03 00:00:00,59.85,1412377200,21.26,1412316000,0.03,toole,26.49,0.65,1412316000toole,48.645052,-111.733493,0.33,,0.0001,0.0018,1412344800,0.04,rain,1026.99,MT,1412343033,1412384620,59.85,1412377200,21.65,1412337600,1412316000,10,244,6.7
0,2014-10-04 00:00:00,70.86,1412456400,42.18,1412402400,0.08,toole,36.71,0.48,1412402400toole,48.645052,-111.733493,0.36,,0,0,,0,,1015.71,MT,1412429520,1412470895,70.86,1412456400,47.64,1412402400,1412402400,10,280,13.07
0,2014-10-05 00:00:00,67.95,1412546400,38.24,1412517600,0.01,toole,38.27,0.59,1412488800toole,48.645052,-111.733493,0.4,,0.0001,0.0018,1412510400,0.04,rain,1015.8,MT,1412516007,1412557170,67.95,1412546400,42.83,1412517600,1412488800,10,288,7.36
0,2014-10-06 00:00:00,72.17,1412625600,41.6,1412575200,0.04,toole,40.54,0.54,1412575200toole,48.645052,-111.733493,0.44,,0,0,,0,,1009.26,MT,1412602494,1412643446,72.17,1412625600,45.48,1412575200,1412575200,10,284,10.72
0,2014-10-07 00:00:00,67.82,1412719200,38.98,1412690400,0.08,toole,35.39,0.56,1412661600toole,48.645052,-111.733493,0.48,,0.0001,0.0018,1412686800,0.04,rain,1014.17,MT,1412688982,1412729723,67.82,1412719200,38.98,1412690400,1412661600,10,127,3.22
0,2014-10-08 00:00:00,61.17,1412802000,41.16,1412766000,0.05,toole,38.28,0.68,1412748000toole,48.645052,-111.733493,0.51,,0.0008,0.0057,1412820000,0.26,rain,1014.98,MT,1412775470,1412816000,61.17,1412802000,41.16,1412766000,1412748000,10,52,2.16
0,2014-10-09 00:00:00,60.27,1412888400,36.92,1412863200,0.15,toole,37.66,0.68,1412834400toole,48.645052,-111.733493,0.55,,0.0001,0.0015,1412845200,0.03,rain,1021.1,MT,1412861958,1412902278,60.27,1412888400,38.74,1412863200,1412834400,10,130,4.78
0,2014-10-10 00:00:00,70.38,1412978400,33.06,1412946000,0.03,toole,38.32,0.65,1412920800toole,48.645052,-111.733493,0.58,,0.0001,0.0018,1412928000,0.04,rain,1016.62,MT,1412948447,1412988557,70.38,1412978400,37.67,1412946000,1412920800,9.45,191,6.83
0,2014-10-11 00:00:00,63.4,1413054000,38.3,1413086400,0.11,toole,37.23,0.55,1413007200toole,48.645052,-111.733493,0.62,,0.0006,0.0091,1413072000,0.49,rain,1007.25,MT,1413034936,1413074836,63.4,1413054000,42.9,1413090000,1413007200,9.99,249,11.15
0,2014-10-12 00:00:00,58.78,1413151200,34.03,1413176400,0.07,toole,32.15,0.58,1413093600toole,48.645052,-111.733493,0.65,,0.0001,0.0009,1413122400,0.01,rain,1014.57,MT,1413121426,1413161116,58.78,1413151200,39.74,1413176400,1413093600,10,272,9.83
0,2014-10-13 00:00:00,62,1413234000,31.88,1413201600,0.01,toole,32.42,0.55,1413180000toole,48.645052,-111.733493,0.68,,0,0,,0,,1015.31,MT,1413207915,1413247396,62,1413234000,37.24,1413208800,1413180000,10,232,9.37
0,2014-10-14 00:00:00,72.45,1413320400,50.68,1413284400,0.03,toole,31.94,0.38,1413266400toole,48.645052,-111.733493,0.72,,0,0,,0,,1006.73,MT,1413294405,1413333678,72.45,1413320400,50.68,1413284400,1413266400,10,225,12.25
0,2014-10-15 00:00:00,62.63,1413406800,35.53,1413381600,0.12,toole,36.91,0.63,1413352800toole,48.645052,-111.733493,0.75,,0.0012,0.0099,1413432000,0.5,rain,1004.04,MT,1413380896,1413419960,62.63,1413406800,37.6,1413381600,1413352800,10,255,3.79
0,2014-10-16 00:00:00,56.69,1413493200,33.38,1413464400,0.04,toole,36.92,0.71,1413439200toole,48.645052,-111.733493,0.78,,0.0012,0.0095,1413446400,0.5,rain,1016.24,MT,1413467387,1413506244,56.69,1413493200,38.41,1413464400,1413439200,10,269,6.85
0,2014-10-17 00:00:00,61.47,1413583200,28.18,1413550800,0,toole,31.44,0.64,1413525600toole,48.645052,-111.733493,0.81,,0.0001,0.0016,1413554400,0.03,rain,1017.12,MT,1413553878,1413592528,61.47,1413583200,30.77,1413554400,1413525600,10,172,7.45
0,2014-10-18 00:00:00,67.49,1413666000,42.89,1413612000,0.05,toole,35.89,0.49,1413612000toole,48.645052,-111.733493,0.84,,0,0,,0,,1011.91,MT,1413640369,1413678813,67.49,1413666000,46.77,1413612000,1413612000,10,246,12.26
0,2014-10-19 00:00:00,71.79,1413756000,33.65,1413723600,0,toole,34.9,0.56,1413698400toole,48.645052,-111.733493,0.87,,0,0,,0,,1013.62,MT,1413726861,1413765099,71.79,1413756000,37.95,1413723600,1413698400,10,204,6.96
0,2014-10-20 00:00:00,77.1,1413838800,37.68,1413813600,0,toole,30.76,0.42,1413784800toole,48.645052,-111.733493,0.9,,0.0001,0.0014,1413813600,0.03,rain,1008.05,MT,1413813354,1413851386,77.1,1413838800,41.72,1413813600,1413784800,10,200,7.96
0,2014-10-21 00:00:00,53.3,1413907200,38.84,1413954000,0.07,toole,39.01,0.71,1413871200toole,48.645052,-111.733493,0.93,,0.0058,0.0342,1413925200,0.67,rain,1006.06,MT,1413899846,1413937674,53.3,1413907200,43.57,1413874800,1413871200,9.93,263,7.63
0,2014-10-22 00:00:00,60.27,1414015200,32.11,1413986400,0.03,toole,33.25,0.57,1413957600toole,48.645052,-111.733493,0.96,,0,0,,0,,1011.57,MT,1413986339,1414023964,60.27,1414015200,38.76,1413986400,1413957600,10,235,12.74
0,2014-10-23 00:00:00,61.62,1414098000,41.86,1414044000,0.12,toole,37.19,0.56,1414044000toole,48.645052,-111.733493,0.99,,0,0,,0,,1007.64,MT,1414072832,1414110254,61.62,1414098000,47.36,1414044000,1414044000,10,216,14.35
0,2014-10-24 00:00:00,54.89,1414184400,33.97,1414159200,0.05,toole,29.82,0.52,1414130400toole,48.645052,-111.733493,0.03,,0,0,,0,,1015.14,MT,1414159326,1414196546,54.89,1414184400,41.42,1414209600,1414130400,10,254,15.48
0,2014-10-25 00:00:00,55.31,1414274400,33.5,1414242000,0,toole,34.34,0.67,1414216800toole,48.645052,-111.733493,0.06,,0.0001,0.0015,1414231200,0.03,rain,1011.83,MT,1414245820,1414282839,55.31,1414274400,37.02,1414245600,1414216800,10,140,5.89
0,2014-10-26 00:00:00,53.69,1414346400,24.67,1414386000,0,toole,29.98,0.58,1414303200toole,48.645052,-111.733493,0.09,,0.0035,0.0295,1414378800,0.65,rain,1003.2,MT,1414332314,1414369133,53.69,1414346400,34.21,1414386000,1414303200,9.91,252,16.86
0,2014-10-27 00:00:00,30.33,1414447200,21.48,1414418400,0.19,toole,28.43,0.85,1414389600toole,48.645052,-111.733493,0.13,,0.0025,0.022,1414393200,0.61,rain,1017.6,MT,1414418808,1414455428,37.4,1414447200,26.72,1414472400,1414389600,9.91,313,8.72
0,2014-10-28 00:00:00,50.5,1414530000,15.52,1414497600,0.05,toole,26,0.7,1414476000toole,48.645052,-111.733493,0.16,,0,0.0008,1414490400,0,,1018.62,MT,1414505303,1414541725,50.5,1414530000,21.9,1414497600,1414476000,10,207,8.71
0,2014-10-29 00:00:00,58.13,1414612800,32.18,1414641600,0.06,toole,33.82,0.61,1414562400toole,48.645052,-111.733493,0.2,,0,0,,0,,1015.79,MT,1414591798,1414628023,58.13,1414612800,38.95,1414641600,1414562400,10,258,13.44
0,2014-10-30 00:00:00,44.44,1414702800,27.15,1414674000,0.02,toole,31.69,0.78,1414648800toole,48.645052,-111.733493,0.24,,0.0001,0.0022,1414681200,0.06,rain,1023.87,MT,1414678293,1414714323,49.94,1414702800,27.15,1414674000,1414648800,10,142,6.38
0,2014-10-31 00:00:00,58.17,1414792800,28.58,1414746000,0.04,toole,33.69,0.68,1414735200toole,48.645052,-111.733493,0.28,,0,0,,0,,1010.35,MT,1414764788,1414800624,58.17,1414792800,35.75,1414756800,1414735200,9.22,158,9.25
0,2014-11-01 00:00:00,38.74,1414821600,24.36,1414900800,0.09,toole,32.61,0.89,1414821600toole,48.645052,-111.733493,0.31,,0.0078,0.0667,1414900800,0.74,rain,1007.65,MT,1414851283,1414886927,41.95,1414821600,32.96,1414843200,1414821600,7.25,336,8.28
0,2014-11-02 00:00:00,25.73,1414908000,21.09,1414936800,0.13,toole,31.13,0.95,1414908000toole,48.645052,-111.733493,0.35,,0.0102,0.0424,1414947600,0.69,rain,1010.81,MT,1414937779,1414973231,33.97,1414908000,30.35,1414994400,1414908000,8.4,305,12.69
0,2014-11-03 00:00:00,39.61,1415052000,20.19,1415001600,0.04,toole,29.39,0.77,1414998000toole,48.645052,-111.733493,0.39,,0,0.001,1415008800,0,,1017.73,MT,1415024274,1415059536,44.41,1415052000,29.47,1414998000,1414998000,10,259,10.76
0,2014-11-04 00:00:00,42.03,1415142000,28.97,1415084400,0.1,toole,34.1,0.73,1415084400toole,48.645052,-111.733493,0.43,,0.0004,0.0055,1415163600,0.24,rain,1013.59,MT,1415110770,1415145844,48.73,1415142000,35.88,1415084400,1415084400,9.89,243,13.74
0,2014-11-05 00:00:00,52.05,1415224800,28.48,1415178000,0.14,toole,32.16,0.74,1415170800toole,48.645052,-111.733493,0.46,,0,0,,0,,1024.07,MT,1415197266,1415232153,52.05,1415224800,32.88,1415196000,1415170800,9.1,248,5.73
0,2014-11-06 00:00:00,62.21,1415311200,36.83,1415257200,0.07,toole,38.5,0.62,1415257200toole,48.645052,-111.733493,0.5,,0.0003,0.004,1415268000,0.15,rain,1013.74,MT,1415283761,1415318463,62.21,1415311200,41.78,1415257200,1415257200,10,221,13.39
0,2014-11-07 00:00:00,43.92,1415343600,26.48,1415426400,0.09,toole,34.6,0.79,1415343600toole,48.645052,-111.733493,0.53,,0.0005,0.007,1415368800,0.34,rain,1021.59,MT,1415370257,1415404776,49.97,1415343600,33.34,1415415600,1415343600,9.4,290,4.97
0,2014-11-08 00:00:00,55.61,1415476800,27,1415448000,0.07,toole,30.19,0.61,1415430000toole,48.645052,-111.733493,0.57,,0.0001,0.0014,1415462400,0.03,rain,1017.89,MT,1415456752,1415491090,55.61,1415476800,33.63,1415433600,1415430000,9.83,257,12.15
0,2014-11-09 00:00:00,35.39,1415516400,-5.49,1415588400,0.31,toole,20.62,0.88,1415516400toole,48.645052,-111.733493,0.6,2.189,0.0072,0.015,1415556000,0.56,snow,1010.02,MT,1415543247,1415577406,38.98,1415516400,10.39,1415599200,1415516400,6.13,9,9.68
0,2014-11-10 00:00:00,-0.11,1415642400,-19.58,1415682000,,toole,4,0.85,1415602800toole,48.645052,-111.733493,0.63,0.288,0.0006,0.0034,1415646000,0.12,snow,1025.46,MT,1415629742,1415663724,14.31,1415642400,-1.33,1415685600,1415602800,6.71,332,10.41
