,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,56.7,1412200800,39.27,1412226000,0.28,treasure,37.1,0.64,1412143200treasure,46.209558,-107.280369,0.25,,0.0004,0.0043,1412143200,0.17,rain,1012.41,MT,1412168931,1412211064,56.7,1412200800,43.28,1412226000,1412143200,9.97,300,11.91
0,2014-10-02 00:00:00,36.85,1412269200,24.09,1412312400,0.15,treasure,30.46,0.69,1412229600treasure,46.209558,-107.280369,0.29,,0.0008,0.0055,1412269200,0.24,rain,1021.18,MT,1412255409,1412297346,44.48,1412269200,32.1,1412312400,1412229600,9.53,315,10.98
0,2014-10-03 00:00:00,54.49,1412377200,20.87,1412341200,0.04,treasure,25.04,0.59,1412316000treasure,46.209558,-107.280369,0.33,,0,0,,0,,1028.6,MT,1412341886,1412383630,54.49,1412377200,25.71,1412341200,1412316000,10,279,5.89
0,2014-10-04 00:00:00,69.29,1412456400,34.67,1412413200,0.13,treasure,33.07,0.48,1412402400treasure,46.209558,-107.280369,0.36,,0,0,,0,,1016.31,MT,1412428364,1412469913,69.29,1412456400,40.34,1412413200,1412402400,9.99,297,10.06
0,2014-10-05 00:00:00,67.2,1412542800,45.42,1412571600,0.18,treasure,38.74,0.51,1412488800treasure,46.209558,-107.280369,0.4,,0,0,,0,,1013.92,MT,1412514843,1412556198,67.2,1412542800,48.34,1412571600,1412488800,10,313,13.18
0,2014-10-06 00:00:00,73.29,1412632800,42.44,1412586000,0.1,treasure,38.38,0.49,1412575200treasure,46.209558,-107.280369,0.44,,0,0,,0,,1008.86,MT,1412601321,1412642482,73.29,1412632800,45.27,1412586000,1412575200,9.97,300,11.17
0,2014-10-07 00:00:00,65.41,1412719200,47.55,1412744400,0.23,treasure,38.12,0.53,1412661600treasure,46.209558,-107.280369,0.48,,0.0005,0.0047,1412668800,0.19,rain,1014.5,MT,1412687800,1412728768,65.41,1412719200,48.78,1412744400,1412661600,9.95,70,0.4
0,2014-10-08 00:00:00,71.53,1412805600,42.72,1412758800,0.11,treasure,38.84,0.57,1412748000treasure,46.209558,-107.280369,0.51,,0,0,,0,,1014.7,MT,1412774280,1412815054,71.53,1412805600,43.41,1412773200,1412748000,10,57,2.21
0,2014-10-09 00:00:00,61.49,1412892000,38.46,1412863200,0.13,treasure,37.46,0.65,1412834400treasure,46.209558,-107.280369,0.55,,0,0,,0,,1020.44,MT,1412860759,1412901340,61.49,1412892000,40.55,1412859600,1412834400,9.99,71,4.46
0,2014-10-10 00:00:00,65.74,1412978400,35.83,1412946000,0.09,treasure,38.75,0.65,1412920800treasure,46.209558,-107.280369,0.58,,0,0,,0,,1018.68,MT,1412947239,1412987627,65.74,1412978400,37.68,1412942400,1412920800,10,147,4.76
0,2014-10-11 00:00:00,69.33,1413061200,40.26,1413032400,0.12,treasure,38.22,0.55,1413007200treasure,46.209558,-107.280369,0.62,,0.0023,0.0317,1413082800,0.66,rain,1008.79,MT,1413033720,1413073915,69.33,1413061200,44.38,1413032400,1413007200,9.91,256,7.28
0,2014-10-12 00:00:00,54.33,1413144000,36.59,1413176400,0.28,treasure,38.33,0.69,1413093600treasure,46.209558,-107.280369,0.65,,0.0038,0.0153,1413108000,0.56,rain,1012.92,MT,1413120200,1413160204,54.33,1413144000,41.36,1413176400,1413093600,9.88,311,12.01
0,2014-10-13 00:00:00,61.05,1413237600,31.83,1413198000,0.05,treasure,32.02,0.59,1413180000treasure,46.209558,-107.280369,0.68,,0.0005,0.0081,1413183600,0.41,rain,1019.16,MT,1413206681,1413246493,61.05,1413237600,36.81,1413198000,1413180000,9.98,238,5.92
0,2014-10-14 00:00:00,72.03,1413320400,39.08,1413291600,0.08,treasure,34.29,0.46,1413266400treasure,46.209558,-107.280369,0.72,,0,0,,0,,1011.9,MT,1413293163,1413332783,72.03,1413320400,43.43,1413280800,1413266400,10,193,6.96
0,2014-10-15 00:00:00,72.79,1413414000,42.83,1413381600,0.06,treasure,36.44,0.48,1413352800treasure,46.209558,-107.280369,0.75,,0.0003,0.0029,1413432000,0.09,rain,1004.47,MT,1413379644,1413419074,72.79,1413414000,45.56,1413378000,1413352800,9.99,218,4.74
0,2014-10-16 00:00:00,57.04,1413493200,39.3,1413464400,0.1,treasure,32.64,0.51,1413439200treasure,46.209558,-107.280369,0.78,,0.0001,0.0025,1413446400,0.07,rain,1015.42,MT,1413466127,1413505366,57.04,1413493200,43.51,1413518400,1413439200,9.89,300,11.18
0,2014-10-17 00:00:00,60.09,1413583200,31.24,1413547200,0.06,treasure,32.65,0.62,1413525600treasure,46.209558,-107.280369,0.81,,0,0,,0,,1020.25,MT,1413552609,1413591659,60.09,1413583200,33.96,1413550800,1413525600,9.73,148,4.87
0,2014-10-18 00:00:00,70.9,1413669600,37.49,1413626400,0.05,treasure,33.14,0.49,1413612000treasure,46.209558,-107.280369,0.84,,0,0,,0,,1014.36,MT,1413639092,1413677953,70.9,1413669600,40.16,1413637200,1413612000,10,221,3.9
0,2014-10-19 00:00:00,71.16,1413756000,36.55,1413727200,0.01,treasure,34.99,0.52,1413698400treasure,46.209558,-107.280369,0.87,,0,0,,0,,1016.01,MT,1413725575,1413764248,71.16,1413756000,40.29,1413727200,1413698400,10,187,4.3
0,2014-10-20 00:00:00,76.47,1413842400,37.9,1413813600,0,treasure,32.94,0.43,1413784800treasure,46.209558,-107.280369,0.9,,0,0,,0,,1011.61,MT,1413812059,1413850544,76.47,1413842400,41.76,1413813600,1413784800,10,183,6.05
0,2014-10-21 00:00:00,70.26,1413921600,40.67,1413896400,0.08,treasure,36.26,0.49,1413871200treasure,46.209558,-107.280369,0.93,,0.0008,0.0088,1413946800,0.46,rain,1005.85,MT,1413898543,1413936841,70.26,1413921600,44.53,1413896400,1413871200,9.93,248,6.41
0,2014-10-22 00:00:00,61.44,1414015200,32.95,1413986400,0.02,treasure,29.21,0.48,1413957600treasure,46.209558,-107.280369,0.96,,0,0,,0,,1013.93,MT,1413985027,1414023139,61.44,1414015200,39.7,1413986400,1413957600,10,256,10.9
0,2014-10-23 00:00:00,66.35,1414098000,35.23,1414054800,0.08,treasure,29.33,0.44,1414044000treasure,46.209558,-107.280369,0.99,,0,0,,0,,1011.98,MT,1414071512,1414109438,66.35,1414098000,40.6,1414065600,1414044000,10,217,6.49
0,2014-10-24 00:00:00,60.28,1414184400,43.68,1414155600,0.17,treasure,34.28,0.52,1414130400treasure,46.209558,-107.280369,0.03,,0.0002,0.002,1414206000,0.05,rain,1015.99,MT,1414157997,1414195738,60.28,1414184400,45.29,1414213200,1414130400,10,287,4.77
0,2014-10-25 00:00:00,69.1,1414274400,28.43,1414242000,0.02,treasure,34.09,0.56,1414216800treasure,46.209558,-107.280369,0.06,,0,0,,0,,1013.91,MT,1414244482,1414282039,69.1,1414274400,35.05,1414242000,1414216800,10,154,5.93
0,2014-10-26 00:00:00,62.23,1414346400,35.65,1414386000,0.06,treasure,30.19,0.42,1414303200treasure,46.209558,-107.280369,0.09,,0.0003,0.0066,1414335600,0.31,rain,1003.67,MT,1414330967,1414368342,62.23,1414346400,42.25,1414386000,1414303200,10,270,12.6
0,2014-10-27 00:00:00,37.17,1414440000,27.5,1414472400,0.26,treasure,26.93,0.6,1414389600treasure,46.209558,-107.280369,0.13,,0.0009,0.0044,1414432800,0.18,rain,1014.32,MT,1414417453,1414454646,45.18,1414440000,33.93,1414472400,1414389600,9.78,303,14.73
0,2014-10-28 00:00:00,52.2,1414533600,19.39,1414501200,0.05,treasure,22.09,0.57,1414476000treasure,46.209558,-107.280369,0.16,,0,0,,0,,1021.27,MT,1414503939,1414540951,52.2,1414533600,25.16,1414501200,1414476000,10,219,4
0,2014-10-29 00:00:00,60.49,1414620000,31.99,1414584000,0.13,treasure,28.05,0.48,1414562400treasure,46.209558,-107.280369,0.2,,0.0004,0.0029,1414591200,0.09,rain,1017.51,MT,1414590425,1414627258,60.49,1414620000,38.25,1414573200,1414562400,9.99,276,9.23
0,2014-10-30 00:00:00,53.19,1414706400,27.95,1414674000,0.05,treasure,29.84,0.63,1414648800treasure,46.209558,-107.280369,0.24,,0,0,,0,,1026.55,MT,1414676912,1414713566,53.19,1414706400,32.06,1414677600,1414648800,9.99,120,2.99
0,2014-10-31 00:00:00,59.42,1414792800,27.11,1414764000,0.09,treasure,30.91,0.59,1414735200treasure,46.209558,-107.280369,0.28,,0,0,,0,,1015.25,MT,1414763399,1414799876,59.42,1414792800,34.36,1414764000,1414735200,9.95,144,8.12
0,2014-11-01 00:00:00,59.79,1414879200,38.93,1414836000,0.1,treasure,32.9,0.57,1414821600treasure,46.209558,-107.280369,0.31,,0.0002,0.0029,1414904400,0.09,rain,1004.72,MT,1414849886,1414886187,59.79,1414879200,41.16,1414839600,1414821600,9.95,97,2
0,2014-11-02 00:00:00,51.9,1414958400,30.02,1414936800,0.15,treasure,31.97,0.65,1414908000treasure,46.209558,-107.280369,0.35,,0.0001,0.0019,1414908000,0.05,rain,1007.94,MT,1414936373,1414972499,51.9,1414958400,37.41,1414936800,1414908000,9.41,289,9.7
0,2014-11-03 00:00:00,51.17,1415048400,21.41,1415023200,0.09,treasure,23.3,0.53,1414998000treasure,46.209558,-107.280369,0.39,,0,0,,0,,1018.07,MT,1415022860,1415058813,51.17,1415048400,31.17,1415023200,1414998000,10,288,9.76
0,2014-11-04 00:00:00,55.63,1415131200,25.42,1415106000,0.11,treasure,26.14,0.48,1415084400treasure,46.209558,-107.280369,0.43,,0.0001,0.0034,1415167200,0.12,rain,1016.93,MT,1415109347,1415145129,55.63,1415131200,33.24,1415098800,1415084400,10,252,12.5
0,2014-11-05 00:00:00,54.61,1415221200,33.48,1415196000,0.14,treasure,30.57,0.57,1415170800treasure,46.209558,-107.280369,0.46,,0.0003,0.002,1415174400,0.05,rain,1023.58,MT,1415195834,1415231446,54.61,1415221200,37.78,1415253600,1415170800,10,288,8.46
