,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,54.79,1412197200,33.67,1412164800,0.23,wheatland,34.59,0.64,1412143200wheatland,46.497047,-109.857147,0.25,,0,0,,0,,1014.5,MT,1412169557,1412211674,54.79,1412197200,41.15,1412168400,1412143200,10,286,13.39
0,2014-10-02 00:00:00,35.05,1412247600,20.08,1412308800,0.17,wheatland,27.48,0.7,1412229600wheatland,46.497047,-109.857147,0.29,,0.0015,0.0127,1412269200,0.54,rain,1023.08,MT,1412256035,1412297956,42.26,1412247600,27.16,1412312400,1412229600,9.2,334,12.88
0,2014-10-03 00:00:00,56.7,1412377200,17.64,1412330400,0.02,wheatland,23.16,0.54,1412316000wheatland,46.497047,-109.857147,0.33,,0,0,,0,,1029.13,MT,1412342514,1412384238,56.7,1412377200,24.96,1412330400,1412316000,10,281,10.72
0,2014-10-04 00:00:00,68.12,1412456400,42.25,1412402400,0.13,wheatland,32.55,0.4,1412402400wheatland,46.497047,-109.857147,0.36,,0,0,,0,,1017.14,MT,1412428993,1412470521,68.12,1412456400,47.68,1412402400,1412402400,10,290,18.76
0,2014-10-05 00:00:00,67.25,1412542800,46.68,1412568000,0.17,wheatland,38.96,0.52,1412488800wheatland,46.497047,-109.857147,0.4,,0,0,,0,,1015.81,MT,1412515472,1412556804,67.25,1412542800,47.97,1412568000,1412488800,10,304,13.51
0,2014-10-06 00:00:00,72.14,1412632800,45.91,1412582400,0.07,wheatland,39.14,0.47,1412575200wheatland,46.497047,-109.857147,0.44,,0,0,,0,,1010.47,MT,1412601952,1412643088,72.14,1412632800,48.71,1412582400,1412575200,10,292,16.43
0,2014-10-07 00:00:00,65.06,1412719200,43.29,1412690400,0.18,wheatland,40,0.59,1412661600wheatland,46.497047,-109.857147,0.48,,0.0002,0.0017,1412668800,0.04,rain,1014.74,MT,1412688432,1412729373,65.06,1412719200,46.02,1412690400,1412661600,9.95,122,3.11
0,2014-10-08 00:00:00,68.49,1412798400,41.96,1412762400,0.1,wheatland,41.39,0.62,1412748000wheatland,46.497047,-109.857147,0.51,,0,0,,0,,1014.68,MT,1412774912,1412815657,68.49,1412798400,44.99,1412755200,1412748000,9.99,316,1.03
0,2014-10-09 00:00:00,57.82,1412892000,39.07,1412859600,0.2,wheatland,40.2,0.72,1412834400wheatland,46.497047,-109.857147,0.55,,0,0,,0,,1020.34,MT,1412861393,1412901943,57.82,1412892000,42.13,1412859600,1412834400,10,121,6.19
