,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,56.13,1412197200,39.03,1412164800,0.32,yellowstone,35.84,0.62,1412143200yellowstone,45.936987,-108.276656,0.25,,0.0004,0.0038,1412143200,0.14,rain,1012.96,MT,1412169164,1412211309,56.13,1412197200,44.41,1412226000,1412143200,9.98,294,10.64
0,2014-10-02 00:00:00,38.1,1412269200,25.43,1412298000,0.19,yellowstone,29.96,0.68,1412229600yellowstone,45.936987,-108.276656,0.29,,0.0007,0.0041,1412269200,0.16,rain,1021.47,MT,1412255641,1412297592,45.45,1412269200,31.97,1412312400,1412229600,9.59,308,9.09
0,2014-10-03 00:00:00,56.01,1412377200,20.51,1412341200,0.07,yellowstone,25.84,0.59,1412316000yellowstone,45.936987,-108.276656,0.33,,0,0,,0,,1028.64,MT,1412342117,1412383877,56.01,1412377200,26.63,1412341200,1412316000,10,256,5.65
0,2014-10-04 00:00:00,70.13,1412460000,38.09,1412413200,0.18,yellowstone,32.34,0.42,1412402400yellowstone,45.936987,-108.276656,0.36,,0,0,,0,,1016.43,MT,1412428594,1412470161,70.13,1412460000,44.2,1412413200,1412402400,9.99,286,11.08
0,2014-10-05 00:00:00,68.03,1412542800,50.04,1412571600,0.21,yellowstone,38.02,0.48,1412488800yellowstone,45.936987,-108.276656,0.4,,0,0,,0,,1014.3,MT,1412515072,1412556446,68.03,1412542800,50.04,1412571600,1412488800,10,312,11.53
0,2014-10-06 00:00:00,73.86,1412636400,43.4,1412586000,0.13,yellowstone,37.81,0.46,1412575200yellowstone,45.936987,-108.276656,0.44,,0,0,,0,,1009.25,MT,1412601550,1412642732,73.86,1412636400,46.91,1412586000,1412575200,9.98,285,11.61
0,2014-10-07 00:00:00,67.28,1412719200,49.44,1412690400,0.25,yellowstone,38.93,0.53,1412661600yellowstone,45.936987,-108.276656,0.48,,0.0003,0.0028,1412668800,0.09,rain,1014.14,MT,1412688028,1412729018,67.28,1412719200,49.44,1412690400,1412661600,9.97,61,1.4
0,2014-10-08 00:00:00,73.11,1412805600,41.49,1412773200,0.16,yellowstone,39.2,0.55,1412748000yellowstone,45.936987,-108.276656,0.51,,0,0,,0,,1014.13,MT,1412774506,1412815305,73.11,1412805600,44.89,1412773200,1412748000,9.97,306,0.67
0,2014-10-09 00:00:00,60.41,1412892000,39.49,1412863200,0.18,yellowstone,38.22,0.65,1412834400yellowstone,45.936987,-108.276656,0.55,,0,0,,0,,1019.76,MT,1412860985,1412901593,60.41,1412892000,41.81,1412859600,1412834400,9.99,54,5.67
0,2014-10-10 00:00:00,65.37,1412978400,35.73,1412942400,0.15,yellowstone,38.78,0.65,1412920800yellowstone,45.936987,-108.276656,0.58,,0,0,,0,,1018.36,MT,1412947464,1412987881,65.37,1412978400,38.53,1412946000,1412920800,9.98,157,3.12
0,2014-10-11 00:00:00,68.71,1413054000,41.5,1413090000,0.18,yellowstone,37.77,0.54,1413007200yellowstone,45.936987,-108.276656,0.62,,0.003,0.0279,1413090000,0.64,rain,1008.98,MT,1413033943,1413074170,68.71,1413054000,47.16,1413036000,1413007200,9.87,258,8.9
0,2014-10-12 00:00:00,53.58,1413144000,37.2,1413176400,0.32,yellowstone,37.45,0.68,1413093600yellowstone,45.936987,-108.276656,0.65,,0.0027,0.016,1413093600,0.57,rain,1013.51,MT,1413120423,1413160459,53.58,1413144000,42.09,1413176400,1413093600,9.94,305,11.28
0,2014-10-13 00:00:00,61.1,1413237600,29.57,1413201600,0.1,yellowstone,31.24,0.56,1413180000yellowstone,45.936987,-108.276656,0.68,,0.0003,0.0042,1413183600,0.16,rain,1019.25,MT,1413206903,1413246749,61.1,1413237600,36.25,1413201600,1413180000,9.99,234,8.26
0,2014-10-14 00:00:00,71.86,1413320400,43.01,1413280800,0.14,yellowstone,32.45,0.39,1413266400yellowstone,45.936987,-108.276656,0.72,,0,0,,0,,1011.54,MT,1413293384,1413333041,71.86,1413320400,47.8,1413280800,1413266400,10,216,10.02
0,2014-10-15 00:00:00,72.56,1413414000,45.6,1413381600,0.12,yellowstone,34.33,0.42,1413352800yellowstone,45.936987,-108.276656,0.75,,0.0003,0.0028,1413424800,0.09,rain,1004.31,MT,1413379865,1413419333,72.56,1413414000,48.4,1413381600,1413352800,10,230,7.11
0,2014-10-16 00:00:00,58.03,1413493200,39.89,1413460800,0.14,yellowstone,29.48,0.44,1413439200yellowstone,45.936987,-108.276656,0.78,,0,0.0012,1413446400,0,,1015.73,MT,1413466346,1413505625,58.03,1413493200,45.31,1413518400,1413439200,9.97,295,10.9
0,2014-10-17 00:00:00,60.92,1413583200,29.66,1413554400,0.11,yellowstone,31.34,0.58,1413525600yellowstone,45.936987,-108.276656,0.81,,0,0,,0,,1019.72,MT,1413552827,1413591919,60.92,1413583200,33.77,1413554400,1413525600,9.9,147,3.91
0,2014-10-18 00:00:00,70.94,1413669600,37.71,1413637200,0.09,yellowstone,31.71,0.46,1413612000yellowstone,45.936987,-108.276656,0.84,,0,0,,0,,1014.4,MT,1413639309,1413678214,70.94,1413669600,40.16,1413637200,1413612000,10,234,4.13
0,2014-10-19 00:00:00,71.25,1413756000,37.36,1413727200,0.03,yellowstone,33.96,0.49,1413698400yellowstone,45.936987,-108.276656,0.87,,0,0,,0,,1015.89,MT,1413725792,1413764510,71.25,1413756000,41.12,1413723600,1413698400,9.96,195,4.59
0,2014-10-20 00:00:00,76.62,1413842400,37.36,1413813600,0,yellowstone,31.31,0.4,1413784800yellowstone,45.936987,-108.276656,0.9,,0,0,,0,,1011.46,MT,1413812274,1413850806,76.62,1413842400,41.95,1413813600,1413784800,10,200,6.72
0,2014-10-21 00:00:00,69.28,1413921600,41.43,1413954000,0.12,yellowstone,33.64,0.44,1413871200yellowstone,45.936987,-108.276656,0.93,,0.0006,0.0059,1413946800,0.27,rain,1005.93,MT,1413898757,1413937104,69.28,1413921600,46.25,1413896400,1413871200,9.98,248,9.8
0,2014-10-22 00:00:00,61.12,1414015200,34.39,1413986400,0.03,yellowstone,27.34,0.43,1413957600yellowstone,45.936987,-108.276656,0.96,,0,0,,0,,1014.2,MT,1413985241,1414023403,61.12,1414015200,41.2,1413986400,1413957600,10,255,12.23
0,2014-10-23 00:00:00,66.16,1414098000,39.28,1414054800,0.15,yellowstone,27.75,0.37,1414044000yellowstone,45.936987,-108.276656,0.99,,0,0,,0,,1011.67,MT,1414071724,1414109703,66.16,1414098000,44.58,1414054800,1414044000,10,224,8.98
0,2014-10-24 00:00:00,59.03,1414184400,45.44,1414213200,0.24,yellowstone,34.48,0.5,1414130400yellowstone,45.936987,-108.276656,0.03,,0.0001,0.0013,1414206000,0.02,rain,1015.69,MT,1414158208,1414196004,59.03,1414184400,45.44,1414213200,1414130400,10,288,3.59
0,2014-10-25 00:00:00,67.74,1414274400,29.64,1414242000,0.04,yellowstone,33.89,0.57,1414216800yellowstone,45.936987,-108.276656,0.06,,0,0,,0,,1013.64,MT,1414244693,1414282307,67.74,1414274400,35.47,1414242000,1414216800,9.93,170,3.45
