,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,46.08,1412204400,34.41,1412226000,0.24,crook,38.3,0.75,1412143200crook,44.589266,-104.567298,0.25,,0.0008,0.0052,1412197200,0.22,rain,1010.6,WY,1412168242,1412210450,49.4,1412204400,39.06,1412226000,1412143200,9.95,290,6.22
0,2014-10-02 00:00:00,52.86,1412272800,19.02,1412305200,0.16,crook,31.47,0.74,1412229600crook,44.589266,-104.567298,0.29,,0.0029,0.0277,1412294400,0.64,rain,1017.86,WY,1412254714,1412296739,52.86,1412272800,30.08,1412312400,1412229600,9.65,299,7.49
0,2014-10-03 00:00:00,37.53,1412366400,19.34,1412341200,0.04,crook,20.26,0.57,1412316000crook,44.589266,-104.567298,0.33,,0.0011,0.0161,1412359200,0.57,rain,1026.46,WY,1412341187,1412383027,44.89,1412366400,27.31,1412341200,1412316000,10,300,7.6
0,2014-10-04 00:00:00,59.08,1412460000,26.81,1412402400,0.22,crook,29.53,0.51,1412402400crook,44.589266,-104.567298,0.36,,0.0002,0.0054,1412438400,0.24,rain,1015.61,WY,1412427659,1412469316,59.08,1412460000,32.5,1412402400,1412402400,10,266,5.93
0,2014-10-05 00:00:00,58.57,1412546400,41.06,1412499600,0.15,crook,36.46,0.6,1412488800crook,44.589266,-104.567298,0.4,,0.0014,0.0161,1412528400,0.57,rain,1011.41,WY,1412514132,1412555606,58.57,1412546400,44.7,1412499600,1412488800,9.99,302,9.89
0,2014-10-06 00:00:00,65.43,1412625600,39.12,1412586000,0.09,crook,35.78,0.52,1412575200crook,44.589266,-104.567298,0.44,,0.0002,0.0054,1412611200,0.24,rain,1007.24,WY,1412600606,1412641896,65.43,1412625600,42.78,1412589600,1412575200,10,277,7.88
0,2014-10-07 00:00:00,55.56,1412719200,41.02,1412737200,0.35,crook,36.1,0.59,1412661600crook,44.589266,-104.567298,0.48,,0.0007,0.0054,1412715600,0.24,rain,1013.86,WY,1412687079,1412728187,55.56,1412719200,44.28,1412737200,1412661600,9.99,294,3.64
0,2014-10-08 00:00:00,68.53,1412802000,42.52,1412755200,0.06,crook,39.18,0.58,1412748000crook,44.589266,-104.567298,0.51,,0.0002,0.0048,1412787600,0.2,rain,1015.05,WY,1412773553,1412814478,68.53,1412802000,45.43,1412748000,1412748000,9.97,142,0.56
0,2014-10-09 00:00:00,56.17,1412884800,35.2,1412856000,0.06,crook,36.94,0.72,1412834400crook,44.589266,-104.567298,0.55,,0.0005,0.0048,1412917200,0.2,rain,1020.23,WY,1412860028,1412900770,56.17,1412884800,37.74,1412856000,1412834400,9.98,76,4.59
0,2014-10-10 00:00:00,60.88,1412978400,32.12,1412946000,0.08,crook,39.57,0.72,1412920800crook,44.589266,-104.567298,0.58,,0.0002,0.0048,1412953200,0.2,rain,1020.24,WY,1412946502,1412987062,60.88,1412978400,37.95,1412938800,1412920800,9.91,171,5.95
0,2014-10-11 00:00:00,68.26,1413061200,46.16,1413028800,0.04,crook,40.04,0.56,1413007200crook,44.589266,-104.567298,0.62,,0.0016,0.0203,1413090000,0.6,rain,1009.32,WY,1413032977,1413073356,68.26,1413061200,48.54,1413028800,1413007200,9.98,213,4.15
0,2014-10-12 00:00:00,50.86,1413093600,33.83,1413136800,0.31,crook,38.84,0.8,1413093600crook,44.589266,-104.567298,0.65,,0.0338,0.1019,1413118800,0.78,rain,1008.26,WY,1413119452,1413159650,50.86,1413093600,41.04,1413176400,1413093600,9.24,328,10.74
0,2014-10-13 00:00:00,53.92,1413237600,29.45,1413201600,0.01,crook,30.74,0.64,1413180000crook,44.589266,-104.567298,0.68,,0.0005,0.0048,1413259200,0.2,rain,1019.27,WY,1413205928,1413245944,53.92,1413237600,34.93,1413201600,1413180000,10,260,4.89
0,2014-10-14 00:00:00,69.77,1413320400,34.52,1413266400,0,crook,33.22,0.48,1413266400crook,44.589266,-104.567298,0.72,,0.0004,0.0096,1413324000,0.5,rain,1015,WY,1413292404,1413332240,69.77,1413320400,38.65,1413266400,1413266400,9.99,209,5.69
0,2014-10-15 00:00:00,73.92,1413406800,56.19,1413370800,0,crook,31.94,0.31,1413352800crook,44.589266,-104.567298,0.75,,0,0,,0,,1005.32,WY,1413378881,1413418536,73.92,1413406800,56.19,1413370800,1413352800,9.99,213,12.22
0,2014-10-16 00:00:00,60.16,1413439200,39.78,1413514800,0.01,crook,30.09,0.46,1413439200crook,44.589266,-104.567298,0.78,,0,0,,0,,1012.27,WY,1413465357,1413504834,60.16,1413439200,42.04,1413522000,1413439200,9.98,304,11.43
0,2014-10-17 00:00:00,53.54,1413579600,32.62,1413550800,0.04,crook,35.15,0.74,1413525600crook,44.589266,-104.567298,0.81,,0.0002,0.0048,1413558000,0.2,rain,1020.67,WY,1413551835,1413591132,53.54,1413579600,36,1413543600,1413525600,9.47,38,0.75
0,2014-10-18 00:00:00,67.1,1413669600,37.87,1413615600,0,crook,35.91,0.56,1413612000crook,44.589266,-104.567298,0.84,,0.0004,0.0048,1413662400,0.2,rain,1016.21,WY,1413638312,1413677431,67.1,1413669600,40.49,1413612000,1413612000,9.78,206,5.59
0,2014-10-19 00:00:00,67.84,1413748800,40.18,1413720000,0,crook,35.18,0.51,1413698400crook,44.589266,-104.567298,0.87,,0.0004,0.0096,1413730800,0.5,rain,1016.11,WY,1413724790,1413763731,67.84,1413748800,42.82,1413720000,1413698400,9.37,226,1.88
0,2014-10-20 00:00:00,74,1413838800,45.68,1413792000,0,crook,36.38,0.44,1413784800crook,44.589266,-104.567298,0.9,,0.0004,0.0048,1413817200,0.2,rain,1013.6,WY,1413811268,1413850032,74,1413838800,47.66,1413792000,1413784800,9.75,192,5.69
