,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,45.47,1412200800,33.97,1412226000,0.3,johnson,37.86,0.75,1412143200johnson,44.044048,-106.588541,0.25,,0.0036,0.0187,1412168400,0.59,rain,1012.54,WY,1412168716,1412210947,49.23,1412200800,39,1412226000,1412143200,9.48,323,8.58
0,2014-10-02 00:00:00,54.99,1412276400,22.26,1412308800,0.07,johnson,31.01,0.69,1412229600johnson,44.044048,-106.588541,0.29,,0.0007,0.0044,1412294400,0.18,rain,1019.62,WY,1412255186,1412297237,54.99,1412276400,31.83,1412312400,1412229600,9.27,310,7.92
0,2014-10-03 00:00:00,51.1,1412373600,20.67,1412319600,0.04,johnson,24.97,0.64,1412316000johnson,44.044048,-106.588541,0.33,,0.0004,0.0061,1412316000,0.28,rain,1028.42,WY,1412341657,1412383527,51.1,1412373600,25.78,1412341200,1412316000,9.93,284,4.38
0,2014-10-04 00:00:00,65.78,1412456400,31.76,1412402400,0.07,johnson,29.24,0.46,1412402400johnson,44.044048,-106.588541,0.36,,0,0,,0,,1017.46,WY,1412428128,1412469818,65.78,1412456400,36.03,1412402400,1412402400,9.96,298,5.62
0,2014-10-05 00:00:00,64.25,1412546400,42.4,1412571600,0.1,johnson,36.45,0.52,1412488800johnson,44.044048,-106.588541,0.4,,0.0004,0.0035,1412521200,0.12,rain,1013.9,WY,1412514599,1412556109,64.25,1412546400,45.63,1412571600,1412488800,9.95,318,11.02
0,2014-10-06 00:00:00,70.44,1412632800,40.16,1412593200,0.02,johnson,35.24,0.48,1412575200johnson,44.044048,-106.588541,0.44,,0,0,,0,,1009.8,WY,1412601070,1412642401,70.44,1412632800,43.55,1412586000,1412575200,9.93,291,7.06
0,2014-10-07 00:00:00,65.69,1412722800,44.79,1412686800,0.07,johnson,38.4,0.54,1412661600johnson,44.044048,-106.588541,0.48,,0,0,,0,,1013.81,WY,1412687542,1412728694,65.69,1412722800,46.39,1412686800,1412661600,9.93,271,0.88
0,2014-10-08 00:00:00,73.25,1412802000,44.81,1412773200,0.02,johnson,36.89,0.49,1412748000johnson,44.044048,-106.588541,0.51,,0,0,,0,,1013.6,WY,1412774015,1412814987,73.25,1412802000,46.03,1412773200,1412748000,9.95,304,1.57
0,2014-10-09 00:00:00,64.18,1412884800,41.68,1412859600,0.07,johnson,38.16,0.6,1412834400johnson,44.044048,-106.588541,0.55,,0.0004,0.0029,1412902800,0.09,rain,1017.39,WY,1412860487,1412901280,64.18,1412884800,41.68,1412859600,1412834400,9.95,15,2.18
0,2014-10-10 00:00:00,64.89,1412978400,36.08,1412946000,0.05,johnson,40.8,0.69,1412920800johnson,44.044048,-106.588541,0.58,,0.0004,0.0067,1412924400,0.32,rain,1017.53,WY,1412946960,1412987575,64.89,1412978400,40.67,1412946000,1412920800,9.75,155,4.27
0,2014-10-11 00:00:00,69.33,1413061200,43.81,1413032400,0.05,johnson,35.97,0.49,1413007200johnson,44.044048,-106.588541,0.62,,0.0002,0.0025,1413090000,0.07,rain,1009.36,WY,1413033433,1413073870,69.33,1413061200,46.4,1413028800,1413007200,9.91,235,4.26
0,2014-10-12 00:00:00,53.74,1413093600,34.49,1413176400,0.23,johnson,36.66,0.72,1413093600johnson,44.044048,-106.588541,0.65,,0.0091,0.0235,1413136800,0.62,rain,1011.21,WY,1413119907,1413160165,53.74,1413093600,39.81,1413176400,1413093600,9.56,326,16.8
0,2014-10-13 00:00:00,57.44,1413237600,30.26,1413198000,0.03,johnson,29.63,0.61,1413180000johnson,44.044048,-106.588541,0.68,,0.0006,0.009,1413183600,0.48,rain,1020.95,WY,1413206381,1413246462,57.44,1413237600,34.01,1413205200,1413180000,9.86,232,3.3
0,2014-10-14 00:00:00,72.53,1413324000,35.13,1413291600,0,johnson,31.03,0.44,1413266400johnson,44.044048,-106.588541,0.72,,0.0001,0.0012,1413324000,0.02,rain,1015.27,WY,1413292855,1413332759,72.53,1413324000,39.61,1413291600,1413266400,9.98,181,6.63
0,2014-10-15 00:00:00,74.76,1413403200,50.62,1413381600,0,johnson,28.83,0.31,1413352800johnson,44.044048,-106.588541,0.75,,0,0,,0,,1005.41,WY,1413379330,1413419057,74.76,1413403200,50.62,1413381600,1413352800,9.99,209,9.46
0,2014-10-16 00:00:00,58.22,1413486000,37.81,1413464400,0.01,johnson,24.87,0.38,1413439200johnson,44.044048,-106.588541,0.78,,0,0,,0,,1014.67,WY,1413465805,1413505356,58.22,1413486000,42.24,1413464400,1413439200,10,324,9.06
0,2014-10-17 00:00:00,59.26,1413583200,33.41,1413550800,0.02,johnson,27.81,0.52,1413525600johnson,44.044048,-106.588541,0.81,,0,0,,0,,1019.74,WY,1413552280,1413591656,59.26,1413583200,33.41,1413550800,1413525600,9.96,147,5.08
0,2014-10-18 00:00:00,71.17,1413669600,32.81,1413626400,0,johnson,30.49,0.48,1413612000johnson,44.044048,-106.588541,0.84,,0,0,,0,,1015.49,WY,1413638756,1413677957,71.17,1413669600,37.66,1413633600,1413612000,9.98,178,3.05
0,2014-10-19 00:00:00,70.19,1413756000,38.21,1413723600,0,johnson,32.14,0.47,1413698400johnson,44.044048,-106.588541,0.87,,0.0001,0.0012,1413730800,0.02,rain,1016.53,WY,1413725232,1413764259,70.19,1413756000,41.05,1413720000,1413698400,9.97,192,2.38
0,2014-10-20 00:00:00,75.77,1413842400,39.72,1413810000,0,johnson,29.8,0.4,1413784800johnson,44.044048,-106.588541,0.9,,0,0,,0,,1013.1,WY,1413811709,1413850562,75.77,1413842400,42.82,1413806400,1413784800,9.98,184,4.77
0,2014-10-21 00:00:00,73.63,1413921600,43.66,1413885600,0.03,johnson,32.27,0.37,1413871200johnson,44.044048,-106.588541,0.93,,0,0,,0,,1006.75,WY,1413898186,1413936865,73.63,1413921600,47.89,1413885600,1413871200,9.99,225,9.34
0,2014-10-22 00:00:00,59.23,1414015200,33.02,1413982800,0,johnson,24.08,0.43,1413957600johnson,44.044048,-106.588541,0.96,,0,0,,0,,1015.24,WY,1413984663,1414023170,59.23,1414015200,35.58,1413982800,1413957600,9.97,236,3.77
0,2014-10-23 00:00:00,67.61,1414098000,33.62,1414047600,0.01,johnson,23.46,0.36,1414044000johnson,44.044048,-106.588541,0.99,,0,0,,0,,1014.15,WY,1414071141,1414109477,67.61,1414098000,38.26,1414062000,1414044000,9.92,209,4.67
0,2014-10-24 00:00:00,68.66,1414184400,41.46,1414213200,0.03,johnson,28.62,0.38,1414130400johnson,44.044048,-106.588541,0.03,,0,0,,0,,1015.19,WY,1414157619,1414195784,68.66,1414184400,42.88,1414213200,1414130400,9.95,267,3.77
0,2014-10-25 00:00:00,74.96,1414274400,32.61,1414242000,0,johnson,28.22,0.42,1414216800johnson,44.044048,-106.588541,0.06,,0,0,,0,,1014.12,WY,1414244097,1414282092,74.96,1414274400,37.56,1414242000,1414216800,10,172,7.15
0,2014-10-26 00:00:00,65.32,1414350000,33.11,1414386000,0.01,johnson,26.97,0.35,1414303200johnson,44.044048,-106.588541,0.09,,0,0,,0,,1003.93,WY,1414330575,1414368402,65.32,1414350000,39.21,1414386000,1414303200,10,250,10.69
0,2014-10-27 00:00:00,42.1,1414443600,27.31,1414472400,0.14,johnson,22.22,0.51,1414389600johnson,44.044048,-106.588541,0.13,,0.0005,0.0048,1414422000,0.2,rain,1013.71,WY,1414417054,1414454713,47.93,1414443600,33.36,1414418400,1414389600,9.9,311,8.71
