,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,43.91,1412143200,32.08,1412222400,0.25,natrona,36.9,0.81,1412143200natrona,42.973602,-106.76507,0.25,,0.006,0.0508,1412168400,0.71,rain,1012.53,WY,1412168735,1412211012,47.05,1412143200,36.99,1412222400,1412143200,8.95,315,5.04
0,2014-10-02 00:00:00,56.96,1412287200,24.72,1412308800,0.04,natrona,30.13,0.67,1412229600natrona,42.973602,-106.76507,0.29,,0.001,0.0082,1412312400,0.42,rain,1019.51,WY,1412255202,1412297306,56.96,1412287200,31.75,1412312400,1412229600,9.11,273,8.14
0,2014-10-03 00:00:00,54.66,1412373600,21.28,1412341200,0.05,natrona,25.49,0.62,1412316000natrona,42.973602,-106.76507,0.33,,0.0012,0.0259,1412316000,0.63,rain,1027.68,WY,1412341669,1412383599,54.66,1412373600,27.49,1412341200,1412316000,9.57,266,6.82
0,2014-10-04 00:00:00,65.75,1412456400,32.97,1412402400,0.04,natrona,27.54,0.42,1412402400natrona,42.973602,-106.76507,0.36,,0,0,,0,,1017.93,WY,1412428137,1412469893,65.75,1412456400,38.86,1412402400,1412402400,9.98,270,9.14
0,2014-10-05 00:00:00,64.07,1412539200,40.26,1412514000,0.09,natrona,33.76,0.48,1412488800natrona,42.973602,-106.76507,0.4,,0,0,,0,,1014.24,WY,1412514605,1412556188,64.07,1412539200,44.32,1412514000,1412488800,9.95,294,8.7
0,2014-10-06 00:00:00,70.01,1412632800,38.96,1412600400,0,natrona,33.78,0.47,1412575200natrona,42.973602,-106.76507,0.44,,0,0,,0,,1010.43,WY,1412601073,1412642483,70.01,1412632800,44.21,1412600400,1412575200,9.94,271,10.85
0,2014-10-07 00:00:00,70.85,1412715600,43.14,1412686800,0.04,natrona,35.71,0.46,1412661600natrona,42.973602,-106.76507,0.48,,0,0,,0,,1013.35,WY,1412687542,1412728779,70.85,1412715600,46.41,1412686800,1412661600,9.96,251,4.43
0,2014-10-08 00:00:00,72.04,1412805600,39.86,1412773200,0,natrona,34.32,0.49,1412748000natrona,42.973602,-106.76507,0.51,,0,0,,0,,1013.85,WY,1412774011,1412815075,72.04,1412805600,42.43,1412766000,1412748000,9.94,273,2.58
0,2014-10-09 00:00:00,64.94,1412888400,38.71,1412856000,0.07,natrona,36.77,0.58,1412834400natrona,42.973602,-106.76507,0.55,,0.0001,0.001,1412910000,0.01,rain,1016.57,WY,1412860480,1412901372,64.94,1412888400,39.04,1412859600,1412834400,9.96,71,3.99
0,2014-10-10 00:00:00,64.39,1412978400,35.83,1412946000,0.06,natrona,39.35,0.69,1412920800natrona,42.973602,-106.76507,0.58,,0.0004,0.0045,1412924400,0.18,rain,1017.68,WY,1412946949,1412987670,64.39,1412978400,39.19,1412938800,1412920800,9.08,127,3.05
0,2014-10-11 00:00:00,67.26,1413061200,41.22,1413032400,0.04,natrona,31.79,0.44,1413007200natrona,42.973602,-106.76507,0.62,,0,0,,0,,1010.21,WY,1413033419,1413073968,67.26,1413061200,45.2,1413028800,1413007200,9.9,243,9.24
0,2014-10-12 00:00:00,53.93,1413093600,31.85,1413126000,0.29,natrona,34.97,0.74,1413093600natrona,42.973602,-106.76507,0.65,,0.0122,0.0528,1413136800,0.72,rain,1010.72,WY,1413119890,1413160267,53.93,1413093600,37.48,1413176400,1413093600,9.16,322,10.62
0,2014-10-13 00:00:00,55.51,1413241200,27.6,1413205200,0.07,natrona,29.66,0.65,1413180000natrona,42.973602,-106.76507,0.68,,0.0001,0.0022,1413216000,0.06,rain,1021.5,WY,1413206360,1413246567,55.51,1413241200,32.45,1413201600,1413180000,9.82,255,7.2
0,2014-10-14 00:00:00,67.25,1413324000,33.47,1413270000,0,natrona,29.93,0.45,1413266400natrona,42.973602,-106.76507,0.72,,0,0,,0,,1017.09,WY,1413292831,1413332868,67.25,1413324000,39.95,1413277200,1413266400,9.98,213,10.14
0,2014-10-15 00:00:00,71.04,1413403200,44.29,1413378000,0,natrona,26.81,0.31,1413352800natrona,42.973602,-106.76507,0.75,,0,0,,0,,1007.58,WY,1413379303,1413419169,71.04,1413403200,49.04,1413378000,1413352800,9.98,217,15.09
0,2014-10-16 00:00:00,59.13,1413486000,38.04,1413460800,0.03,natrona,21.74,0.33,1413439200natrona,42.973602,-106.76507,0.78,,0,0,,0,,1014.25,WY,1413465774,1413505471,59.13,1413486000,42,1413464400,1413439200,10,294,6.48
0,2014-10-17 00:00:00,58.14,1413586800,31.38,1413550800,0.02,natrona,26.62,0.53,1413525600natrona,42.973602,-106.76507,0.81,,0,0,,0,,1019.74,WY,1413552247,1413591774,58.14,1413586800,31.38,1413550800,1413525600,10,133,1.76
0,2014-10-18 00:00:00,70.24,1413669600,29.74,1413633600,0,natrona,29.66,0.51,1413612000natrona,42.973602,-106.76507,0.84,,0,0,,0,,1016.11,WY,1413638719,1413678079,70.24,1413669600,34.01,1413626400,1413612000,9.98,215,3.16
0,2014-10-19 00:00:00,68.31,1413756000,35.21,1413723600,0,natrona,30.4,0.48,1413698400natrona,42.973602,-106.76507,0.87,,0,0,,0,,1016.81,WY,1413725192,1413764384,68.31,1413756000,39.11,1413723600,1413698400,10,236,2.11
0,2014-10-20 00:00:00,72.67,1413838800,33.2,1413799200,0.01,natrona,30.57,0.46,1413784800natrona,42.973602,-106.76507,0.9,,0,0,,0,,1014.67,WY,1413811665,1413850690,72.67,1413838800,37.77,1413806400,1413784800,9.97,204,5.58
0,2014-10-21 00:00:00,70.27,1413921600,44.42,1413885600,0.06,natrona,34.85,0.45,1413871200natrona,42.973602,-106.76507,0.93,,0.0004,0.0022,1413939600,0.06,rain,1008.41,WY,1413898139,1413936997,70.27,1413921600,47.12,1413885600,1413871200,9.96,220,11.12
0,2014-10-22 00:00:00,58.76,1414015200,29.83,1413986400,0.01,natrona,23.04,0.42,1413957600natrona,42.973602,-106.76507,0.96,,0.0001,0.0015,1413964800,0.03,rain,1015.68,WY,1413984613,1414023305,58.76,1414015200,34.8,1413986400,1413957600,9.97,246,8.45
0,2014-10-23 00:00:00,66.21,1414101600,31.46,1414051200,0,natrona,23.87,0.36,1414044000natrona,42.973602,-106.76507,0.99,,0,0,,0,,1015.25,WY,1414071087,1414109615,66.21,1414101600,37.24,1414051200,1414044000,9.91,230,10.37
0,2014-10-24 00:00:00,71.93,1414184400,43.42,1414159200,0,natrona,25.93,0.32,1414130400natrona,42.973602,-106.76507,0.03,,0,0,,0,,1014.99,WY,1414157562,1414195925,71.93,1414184400,47.16,1414213200,1414130400,9.94,238,10.82
0,2014-10-25 00:00:00,73.98,1414270800,38.69,1414238400,0,natrona,25.53,0.34,1414216800natrona,42.973602,-106.76507,0.06,,0,0,,0,,1014.38,WY,1414244037,1414282237,73.98,1414270800,41.06,1414238400,1414216800,9.99,201,8.28
0,2014-10-26 00:00:00,62.42,1414353600,33.83,1414386000,0.02,natrona,28.31,0.37,1414303200natrona,42.973602,-106.76507,0.09,,0.0001,0.0014,1414375200,0.03,rain,1005.06,WY,1414330512,1414368550,62.42,1414353600,40.54,1414386000,1414303200,10,245,14.92
0,2014-10-27 00:00:00,41.48,1414447200,25.1,1414472400,0.09,natrona,18.05,0.46,1414389600natrona,42.973602,-106.76507,0.13,,0.0003,0.0032,1414422000,0.11,rain,1013.78,WY,1414416988,1414454864,47.74,1414447200,30.37,1414472400,1414389600,9.97,279,10.18
0,2014-10-28 00:00:00,51.41,1414537200,16.63,1414501200,0.01,natrona,12.71,0.41,1414476000natrona,42.973602,-106.76507,0.16,,0,0,,0,,1021.65,WY,1414503464,1414541179,51.41,1414537200,25.42,1414501200,1414476000,10,241,7.33
0,2014-10-29 00:00:00,59.33,1414612800,26.12,1414580400,0.02,natrona,17.32,0.34,1414562400natrona,42.973602,-106.76507,0.2,,0,0,,0,,1019.69,WY,1414589940,1414627496,59.33,1414612800,34.45,1414562400,1414562400,10,255,10.13
0,2014-10-30 00:00:00,57.76,1414706400,26.6,1414659600,0.01,natrona,23.12,0.49,1414648800natrona,42.973602,-106.76507,0.24,,0,0,,0,,1026.18,WY,1414676417,1414713814,57.76,1414706400,29.65,1414677600,1414648800,9.99,219,0.81
0,2014-10-31 00:00:00,62.97,1414792800,19.76,1414749600,0,natrona,25.2,0.5,1414735200natrona,42.973602,-106.76507,0.28,,0,0,,0,,1017.92,WY,1414762893,1414800134,62.97,1414792800,30.62,1414753200,1414735200,9.99,162,8.45
0,2014-11-01 00:00:00,67.64,1414879200,43.11,1414832400,0.04,natrona,29.95,0.39,1414821600natrona,42.973602,-106.76507,0.31,,0,0,,0,,1004.93,WY,1414849370,1414886455,67.64,1414879200,46.23,1414832400,1414821600,10,198,9.87
0,2014-11-02 00:00:00,53.56,1414958400,31.4,1414990800,0.11,natrona,28.8,0.55,1414908000natrona,42.973602,-106.76507,0.35,,0.0003,0.0044,1414994400,0.18,rain,1006.92,WY,1414935848,1414972777,53.56,1414958400,36.72,1414990800,1414908000,9.97,242,7.42
0,2014-11-03 00:00:00,36.87,1415052000,23.55,1415080800,0.1,natrona,26.43,0.69,1414998000natrona,42.973602,-106.76507,0.39,,0.0011,0.0054,1415019600,0.24,rain,1018.11,WY,1415022325,1415059101,42.53,1415052000,30.27,1415077200,1414998000,8.82,283,5.05
0,2014-11-04 00:00:00,42.51,1415134800,17.24,1415109600,0.02,natrona,20.69,0.51,1415084400natrona,42.973602,-106.76507,0.43,,0,0,,0,,1021.9,WY,1415108802,1415145426,48.49,1415134800,27.5,1415109600,1415084400,9.98,230,12.65
0,2014-11-05 00:00:00,53.33,1415221200,29.95,1415192400,0.02,natrona,24.67,0.49,1415170800natrona,42.973602,-106.76507,0.46,,0.0001,0.0028,1415210400,0.09,rain,1024.68,WY,1415195280,1415231753,53.33,1415221200,36.29,1415250000,1415170800,9.98,257,7.48
0,2014-11-06 00:00:00,61.46,1415307600,27.93,1415264400,0,natrona,25.44,0.45,1415257200natrona,42.973602,-106.76507,0.5,,0,0,,0,,1023.18,WY,1415281758,1415318082,61.46,1415307600,33.16,1415260800,1415257200,9.98,220,11.6
0,2014-11-07 00:00:00,53.06,1415383200,30.24,1415422800,0.15,natrona,28.58,0.51,1415343600natrona,42.973602,-106.76507,0.53,,0.0001,0.0009,1415394000,0.01,rain,1019.02,WY,1415368235,1415404412,53.06,1415383200,32.34,1415426400,1415343600,10,275,6.93
0,2014-11-08 00:00:00,61.3,1415484000,23.49,1415437200,0,natrona,23.25,0.51,1415430000natrona,42.973602,-106.76507,0.57,,0,0,,0,,1021.25,WY,1415454713,1415490744,61.3,1415484000,29.67,1415437200,1415430000,10,234,9.93
0,2014-11-09 00:00:00,58.9,1415570400,35.93,1415538000,0.02,natrona,23.13,0.35,1415516400natrona,42.973602,-106.76507,0.6,,0,0,,0,,1004.19,WY,1415541191,1415577078,58.9,1415570400,42.17,1415520000,1415516400,9.99,234,15.61
0,2014-11-10 00:00:00,42.26,1415602800,-4.46,1415638800,0.43,natrona,11.03,0.73,1415602800natrona,42.973602,-106.76507,0.63,1.579,0.0042,0.0272,1415620800,0.64,snow,1013.93,WY,1415627668,1415663413,48.29,1415602800,9.63,1415685600,1415602800,6.38,350,10.87
0,2014-11-11 00:00:00,-3.04,1415689200,-23.72,1415772000,0.41,natrona,-3.86,0.74,1415689200natrona,42.973602,-106.76507,0.66,0.689,0.0015,0.006,1415707200,0.27,snow,1033.27,WY,1415714146,1415749750,8.55,1415689200,-9.06,1415772000,1415689200,5.82,4,8.14
0,2014-11-12 00:00:00,-6.3,1415829600,-26.24,1415786400,0.07,natrona,-15.09,0.72,1415775600natrona,42.973602,-106.76507,0.69,,0,0,,0,,1043.21,WY,1415800624,1415836089,2.46,1415829600,-16.58,1415858400,1415775600,9.77,353,1.67
0,2014-11-13 00:00:00,-3.65,1415916000,-31.08,1415869200,0.07,natrona,-9.43,0.73,1415862000natrona,42.973602,-106.76507,0.72,,0,0,,0,,1033.64,WY,1415887101,1415922430,7.87,1415916000,-18.28,1415862000,1415862000,9.27,162,4.24
0,2014-11-14 00:00:00,12.03,1415995200,-5.01,1415948400,0.21,natrona,7.45,0.75,1415948400natrona,42.973602,-106.76507,0.75,0.373,0.0008,0.0062,1416027600,0.29,snow,1019.02,WY,1415973578,1416008773,20.7,1415995200,6.04,1415948400,1415948400,8.28,267,4.8
0,2014-11-15 00:00:00,2.82,1416034800,-20.43,1416117600,0.18,natrona,-2.74,0.73,1416034800natrona,42.973602,-106.76507,0.78,0.631,0.0014,0.0086,1416034800,0.45,snow,1027.43,WY,1416060055,1416095117,13.16,1416034800,-4.81,1416117600,1416034800,7.37,315,6.86
0,2014-11-16 00:00:00,7.22,1416171600,-18.06,1416121200,0.04,natrona,-1.11,0.63,1416121200natrona,42.973602,-106.76507,0.81,,0,0,,0,,1029.97,WY,1416146531,1416181464,20.28,1416171600,-3.2,1416121200,1416121200,9.76,267,9.55
0,2014-11-17 00:00:00,16.69,1416261600,-5.19,1416229200,0,natrona,2.86,0.57,1416207600natrona,42.973602,-106.76507,0.84,,0,0,,0,,1029.13,WY,1416233007,1416267812,25.87,1416261600,8.33,1416229200,1416207600,9.9,259,8.94
0,2014-11-18 00:00:00,21.11,1416344400,2.88,1416304800,0.09,natrona,10.82,0.56,1416294000natrona,42.973602,-106.76507,0.88,,0,0,,0,,1022.62,WY,1416319483,1416354163,31.44,1416344400,16.03,1416294000,1416294000,9.97,245,10.73
0,2014-11-19 00:00:00,30.23,1416434400,9.34,1416402000,0.03,natrona,13.9,0.6,1416380400natrona,42.973602,-106.76507,0.91,,0,0,,0,,1021.07,WY,1416405958,1416440515,35.81,1416434400,18.61,1416402000,1416380400,9.94,256,6.92
0,2014-11-20 00:00:00,33.73,1416520800,10.65,1416492000,0.04,natrona,15.81,0.57,1416466800natrona,42.973602,-106.76507,0.94,,0,0,,0,,1017.14,WY,1416492433,1416526870,39.41,1416520800,20.19,1416477600,1416466800,9.91,222,8.29
0,2014-11-21 00:00:00,38.05,1416607200,19.67,1416578400,0.01,natrona,20.29,0.57,1416553200natrona,42.973602,-106.76507,0.97,,0,0,,0,,1013.54,WY,1416578907,1416613226,43.96,1416607200,27.73,1416578400,1416553200,9.97,231,10.06
0,2014-11-22 00:00:00,33.81,1416682800,21.42,1416639600,0.1,natrona,24.13,0.6,1416639600natrona,42.973602,-106.76507,0.01,,0,0,,0,,1002.8,WY,1416665381,1416699585,42.47,1416682800,31.7,1416639600,1416639600,9.55,227,16.46
0,2014-11-23 00:00:00,21.22,1416776400,12.93,1416798000,0.1,natrona,15.87,0.63,1416726000natrona,42.973602,-106.76507,0.04,,0,0,,0,,1012.02,WY,1416751853,1416785946,31.78,1416776400,22.77,1416798000,1416726000,9.84,294,9.61
0,2014-11-24 00:00:00,22.47,1416859200,11.93,1416891600,0.17,natrona,15.11,0.62,1416812400natrona,42.973602,-106.76507,0.08,,0,0,,0,,1019.22,WY,1416838326,1416872309,33.4,1416859200,21.51,1416891600,1416812400,9.74,294,10.59
0,2014-11-25 00:00:00,30.35,1416949200,11.55,1416898800,0.18,natrona,19.47,0.66,1416898800natrona,42.973602,-106.76507,0.11,0.35,0.0015,0.0087,1416978000,0.46,snow,1017.35,WY,1416924797,1416958674,39.54,1416949200,22.95,1416898800,1416898800,8.11,257,11.07
0,2014-11-26 00:00:00,31.07,1417039200,14.41,1417006800,0.13,natrona,23.5,0.8,1416985200natrona,42.973602,-106.76507,0.15,0.337,0.0013,0.0087,1416985200,0.46,snow,1024.04,WY,1417011267,1417045042,35.33,1417039200,23.68,1417010400,1416985200,8.23,248,6.27
0,2014-11-27 00:00:00,50.94,1417125600,23.45,1417071600,0.02,natrona,25,0.53,1417071600natrona,42.973602,-106.76507,0.19,,0,0,,0,,1019.09,WY,1417097737,1417131411,50.94,1417125600,32.97,1417071600,1417071600,9.89,229,13
0,2014-11-28 00:00:00,53.32,1417212000,34.75,1417176000,0.01,natrona,18.99,0.33,1417158000natrona,42.973602,-106.76507,0.23,,0,0,,0,,1006.77,WY,1417184206,1417217783,53.32,1417212000,42.28,1417158000,1417158000,10,233,15.77
0,2014-11-29 00:00:00,42.53,1417284000,12.21,1417327200,0.04,natrona,15.44,0.37,1417244400natrona,42.973602,-106.76507,0.26,,0,0,,0,,999.63,WY,1417270673,1417304158,49.92,1417284000,21.33,1417327200,1417244400,9.77,226,16.37
0,2014-11-30 00:00:00,12.29,1417330800,-2.5,1417359600,0.11,natrona,6.56,0.68,1417330800natrona,42.973602,-106.76507,0.3,0.353,0.0008,0.0045,1417338000,0.18,snow,1022.63,WY,1417357140,1417390534,20.54,1417330800,9.89,1417359600,1417330800,8.73,326,2.93
0,2014-12-01 00:00:00,29.63,1417467600,-1.64,1417435200,0.09,natrona,14.96,0.66,1417417200natrona,42.973602,-106.76507,0.34,0.056,0.0002,0.002,1417456800,0.05,snow,1023.28,WY,1417443605,1417476913,38.61,1417467600,11.14,1417438800,1417417200,9.57,208,9.13
0,2014-12-02 00:00:00,36.1,1417554000,22.37,1417586400,0.03,natrona,21.66,0.62,1417503600natrona,42.973602,-106.76507,0.37,,0,0,,0,,1015.7,WY,1417530069,1417563295,41.27,1417554000,22.37,1417586400,1417503600,9.78,257,7.75
0,2014-12-03 00:00:00,32.74,1417644000,13.48,1417608000,0.06,natrona,20.42,0.69,1417590000natrona,42.973602,-106.76507,0.41,0.02,0.0001,0.002,1417647600,0.05,snow,1017.71,WY,1417616532,1417649678,40.46,1417644000,20.9,1417593600,1417590000,9.94,205,6.45
0,2014-12-04 00:00:00,44.2,1417723200,24.83,1417676400,0.03,natrona,27.34,0.65,1417676400natrona,42.973602,-106.76507,0.45,,0,0,,0,,1013.2,WY,1417702994,1417736064,49.48,1417723200,32.15,1417680000,1417676400,9.89,232,9.33
0,2014-12-05 00:00:00,45.15,1417813200,23.89,1417788000,0.06,natrona,26.31,0.67,1417762800natrona,42.973602,-106.76507,0.48,,0,0,,0,,1022.22,WY,1417789454,1417822453,48.03,1417813200,30.02,1417788000,1417762800,10,235,5.67
0,2014-12-06 00:00:00,37.21,1417899600,24.2,1417867200,0.03,natrona,26.47,0.68,1417849200natrona,42.973602,-106.76507,0.52,,0,0,,0,,1023.88,WY,1417875912,1417908844,43.96,1417899600,30.13,1417849200,1417849200,9.97,220,8.27
