,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,55.69,1412186400,34.81,1412226000,0.17,platte,39.3,0.76,1412143200platte,42.131593,-104.953963,0.25,,0.0058,0.0234,1412208000,0.62,rain,1010.79,WY,1412168282,1412210596,55.69,1412186400,39.22,1412226000,1412143200,9.69,314,7.13
0,2014-10-02 00:00:00,60.46,1412287200,23.26,1412312400,0.05,platte,31.92,0.65,1412229600platte,42.131593,-104.953963,0.29,,0.0006,0.0071,1412312400,0.35,rain,1017.95,WY,1412254747,1412296892,60.46,1412287200,33.24,1412312400,1412229600,9.42,303,11.91
0,2014-10-03 00:00:00,54.15,1412373600,22.23,1412341200,0.08,platte,26.76,0.63,1412316000platte,42.131593,-104.953963,0.33,,0.0006,0.0094,1412316000,0.5,rain,1026.33,WY,1412341212,1412383188,54.15,1412373600,30.27,1412341200,1412316000,9.74,316,11.44
0,2014-10-04 00:00:00,67.71,1412456400,28.6,1412409600,0.07,platte,28.81,0.48,1412402400platte,42.131593,-104.953963,0.36,,0,0,,0,,1017.15,WY,1412427677,1412469485,67.71,1412456400,34.9,1412409600,1412402400,10,295,10.51
0,2014-10-05 00:00:00,64.38,1412542800,38.56,1412514000,0.12,platte,34.75,0.54,1412488800platte,42.131593,-104.953963,0.4,,0.0001,0.0023,1412539200,0.06,rain,1013.54,WY,1412514142,1412555782,64.38,1412542800,42.58,1412514000,1412488800,10,310,10.14
0,2014-10-06 00:00:00,71.73,1412629200,36.53,1412600400,0.03,platte,35.56,0.52,1412575200platte,42.131593,-104.953963,0.44,,0,0,,0,,1010.07,WY,1412600608,1412642079,71.73,1412629200,42.09,1412586000,1412575200,9.98,289,11.72
0,2014-10-07 00:00:00,72.53,1412715600,43.94,1412686800,0.04,platte,37.72,0.5,1412661600platte,42.131593,-104.953963,0.48,,0,0,,0,,1013.33,WY,1412687074,1412728378,72.53,1412715600,47.1,1412686800,1412661600,9.78,290,4.76
0,2014-10-08 00:00:00,74.27,1412805600,38.55,1412773200,0.02,platte,38.15,0.57,1412748000platte,42.131593,-104.953963,0.51,,0.0001,0.0017,1412794800,0.04,rain,1014.26,WY,1412773540,1412814677,74.27,1412805600,41.18,1412769600,1412748000,9.81,198,1.47
0,2014-10-09 00:00:00,59.37,1412884800,37.48,1412859600,0.08,platte,40.68,0.72,1412834400platte,42.131593,-104.953963,0.55,,0.001,0.0162,1412888400,0.57,rain,1017.02,WY,1412860007,1412900976,59.37,1412884800,41.18,1412859600,1412834400,9.92,67,3.85
