,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,35.99,1412197200,26.96,1412222400,0.14,sublette,30.95,0.79,1412143200sublette,42.767928,-109.91617,0.25,,0.0016,0.0085,1412204400,0.44,rain,1014.47,WY,1412169487,1412211772,43.28,1412197200,32.66,1412161200,1412143200,9.68,306,8.99
0,2014-10-02 00:00:00,52.28,1412287200,26.24,1412244000,0,sublette,27.72,0.66,1412229600sublette,42.767928,-109.91617,0.29,,0.0002,0.0018,1412276400,0.04,rain,1021.11,WY,1412255954,1412298066,52.28,1412287200,29.54,1412254800,1412229600,9.92,287,7.42
0,2014-10-03 00:00:00,55.62,1412373600,23.66,1412337600,0,sublette,23.72,0.59,1412316000sublette,42.767928,-109.91617,0.33,,0.0001,0.0009,1412352000,0.01,rain,1027.05,WY,1412342421,1412384360,55.62,1412373600,27.68,1412341200,1412316000,9.88,299,4.73
0,2014-10-04 00:00:00,62.06,1412460000,26.17,1412420400,0,sublette,27.14,0.5,1412402400sublette,42.767928,-109.91617,0.36,,0,0,,0,,1021.08,WY,1412428888,1412470655,62.06,1412460000,33.43,1412413200,1412402400,10,301,11.15
0,2014-10-05 00:00:00,63.46,1412542800,33,1412514000,0.02,sublette,32.99,0.56,1412488800sublette,42.767928,-109.91617,0.4,,0,0,,0,,1016.84,WY,1412515355,1412556950,63.46,1412542800,37.7,1412499600,1412488800,9.93,303,9.33
0,2014-10-06 00:00:00,65.09,1412632800,33.35,1412600400,0,sublette,33.84,0.59,1412575200sublette,42.767928,-109.91617,0.44,,0,0,,0,,1014.8,WY,1412601822,1412643246,65.09,1412632800,36.67,1412600400,1412575200,9.99,292,7.98
0,2014-10-07 00:00:00,67.62,1412719200,34.27,1412676000,0,sublette,33.6,0.58,1412661600sublette,42.767928,-109.91617,0.48,,0,0,,0,,1015.49,WY,1412688290,1412729542,67.62,1412719200,36.03,1412686800,1412661600,9.93,300,5.1
0,2014-10-08 00:00:00,66.87,1412805600,30.63,1412773200,0,sublette,31.16,0.57,1412748000sublette,42.767928,-109.91617,0.51,,0,0,,0,,1015.34,WY,1412774759,1412815839,66.87,1412805600,34.46,1412773200,1412748000,9.94,298,4.45
0,2014-10-09 00:00:00,64.68,1412892000,27.49,1412856000,0.02,sublette,30.52,0.55,1412834400sublette,42.767928,-109.91617,0.55,,0,0,,0,,1015.05,WY,1412861227,1412902137,64.68,1412892000,33.15,1412856000,1412834400,9.88,314,0.99
0,2014-10-10 00:00:00,59.98,1412978400,32.21,1412946000,0.13,sublette,35.73,0.67,1412920800sublette,42.767928,-109.91617,0.58,,0.0002,0.0035,1412978400,0.13,rain,1016.76,WY,1412947696,1412988435,59.98,1412978400,35.7,1412946000,1412920800,9.96,292,3.15
0,2014-10-11 00:00:00,58.08,1413064800,26.85,1413032400,0.03,sublette,29.11,0.58,1413007200sublette,42.767928,-109.91617,0.62,,0,0,,0,,1014.05,WY,1413034166,1413074734,58.08,1413064800,32.26,1413032400,1413007200,9.98,276,5.76
0,2014-10-12 00:00:00,36.88,1413136800,25.43,1413118800,0.13,sublette,30.33,0.71,1413093600sublette,42.767928,-109.91617,0.65,,0.0045,0.0196,1413144000,0.6,rain,1012.84,WY,1413120635,1413161034,45.38,1413136800,32.04,1413176400,1413093600,9.66,311,13.94
0,2014-10-13 00:00:00,52.83,1413237600,21.74,1413205200,0.05,sublette,26.65,0.68,1413180000sublette,42.767928,-109.91617,0.68,,0.0001,0.0035,1413216000,0.13,rain,1023.39,WY,1413207105,1413247334,52.83,1413237600,26.04,1413205200,1413180000,9.43,293,5.5
0,2014-10-14 00:00:00,62.41,1413324000,29,1413284400,0.01,sublette,29.17,0.59,1413266400sublette,42.767928,-109.91617,0.72,,0,0,,0,,1019.43,WY,1413293576,1413333635,62.41,1413324000,31.04,1413291600,1413266400,9.99,184,2.03
0,2014-10-15 00:00:00,62.82,1413410400,34.26,1413374400,0.01,sublette,28.16,0.53,1413352800sublette,42.767928,-109.91617,0.75,,0,0,,0,,1010.98,WY,1413380046,1413419937,62.82,1413410400,36.01,1413370800,1413352800,9.99,235,4.12
0,2014-10-16 00:00:00,53.39,1413496800,23.28,1413464400,0.08,sublette,20.49,0.49,1413439200sublette,42.767928,-109.91617,0.78,,0,0,,0,,1017.39,WY,1413466518,1413506240,53.39,1413496800,28.12,1413468000,1413439200,10,301,3.61
0,2014-10-17 00:00:00,57.68,1413583200,19.88,1413547200,0,sublette,24.99,0.6,1413525600sublette,42.767928,-109.91617,0.81,,0,0,,0,,1019.64,WY,1413552989,1413592544,57.68,1413583200,24.81,1413550800,1413525600,10,245,0.8
0,2014-10-18 00:00:00,64,1413669600,26.14,1413633600,0.01,sublette,28.56,0.59,1413612000sublette,42.767928,-109.91617,0.84,,0,0,,0,,1017.33,WY,1413639461,1413678849,64,1413669600,30.51,1413640800,1413612000,9.98,298,3.67
0,2014-10-19 00:00:00,64.09,1413756000,24.12,1413723600,0,sublette,27.51,0.57,1413698400sublette,42.767928,-109.91617,0.87,,0,0,,0,,1017.76,WY,1413725933,1413765155,64.09,1413756000,30.87,1413723600,1413698400,9.99,289,1.64
0,2014-10-20 00:00:00,65.54,1413842400,23.79,1413810000,0.05,sublette,28.11,0.56,1413784800sublette,42.767928,-109.91617,0.9,,0,0,,0,,1016.16,WY,1413812406,1413851461,65.54,1413842400,29.16,1413810000,1413784800,9.97,263,2.17
0,2014-10-21 00:00:00,52.94,1413914400,28.43,1413954000,0.14,sublette,32.81,0.69,1413871200sublette,42.767928,-109.91617,0.93,,0.0016,0.0079,1413914400,0.4,rain,1011.75,WY,1413898879,1413937769,52.94,1413914400,32.55,1413954000,1413871200,9.71,272,3.87
0,2014-10-22 00:00:00,50.84,1414015200,18.88,1413986400,0.03,sublette,23.72,0.65,1413957600sublette,42.767928,-109.91617,0.96,,0,0,,0,,1019.89,WY,1413985352,1414024078,50.84,1414015200,24.24,1413982800,1413957600,10,284,2.91
0,2014-10-23 00:00:00,59.21,1414098000,24.26,1414044000,0.09,sublette,25.41,0.55,1414044000sublette,42.767928,-109.91617,0.99,,0,0,,0,,1019.19,WY,1414071826,1414110388,59.21,1414098000,29.66,1414072800,1414044000,9.97,259,2.54
0,2014-10-24 00:00:00,65.92,1414188000,31.73,1414159200,0.05,sublette,26.5,0.5,1414130400sublette,42.767928,-109.91617,0.03,,0,0,,0,,1018.51,WY,1414158300,1414196699,65.92,1414188000,34.63,1414159200,1414130400,9.98,261,4.06
0,2014-10-25 00:00:00,66.9,1414274400,25.57,1414234800,0,sublette,24.53,0.48,1414216800sublette,42.767928,-109.91617,0.06,,0,0,,0,,1016.27,WY,1414244775,1414283012,66.9,1414274400,28.85,1414242000,1414216800,9.99,199,2.71
0,2014-10-26 00:00:00,42.39,1414353600,24.79,1414386000,0.02,sublette,28.81,0.62,1414303200sublette,42.767928,-109.91617,0.09,,0.0004,0.0061,1414317600,0.28,rain,1009.22,WY,1414331249,1414369325,49,1414353600,30.15,1414386000,1414303200,9.95,272,7.98
0,2014-10-27 00:00:00,34.11,1414443600,18.04,1414418400,0.14,sublette,19.55,0.63,1414389600sublette,42.767928,-109.91617,0.13,0.026,0.0001,0.0017,1414404000,0.04,snow,1017.24,WY,1414417725,1414455640,41.05,1414443600,24.7,1414418400,1414389600,9.83,295,7.47
0,2014-10-28 00:00:00,42.85,1414533600,11.18,1414504800,0.03,sublette,14.42,0.55,1414476000sublette,42.767928,-109.91617,0.16,,0,0,,0,,1023.54,WY,1414504200,1414541956,47.14,1414533600,18.18,1414501200,1414476000,9.99,292,4.55
0,2014-10-29 00:00:00,53.63,1414612800,14.66,1414584000,0.11,sublette,21.77,0.6,1414562400sublette,42.767928,-109.91617,0.2,,0,0,,0,,1024,WY,1414590676,1414628273,53.63,1414612800,22.28,1414584000,1414562400,9.97,294,6.25
0,2014-10-30 00:00:00,56.58,1414706400,20.48,1414670400,0.04,sublette,25.3,0.64,1414648800sublette,42.767928,-109.91617,0.24,,0,0,,0,,1025.8,WY,1414677151,1414714592,56.58,1414706400,25.82,1414674000,1414648800,9.97,335,0.4
0,2014-10-31 00:00:00,61.34,1414789200,23.28,1414760400,0.02,sublette,24.4,0.58,1414735200sublette,42.767928,-109.91617,0.28,,0,0,,0,,1016.82,WY,1414763628,1414800912,61.34,1414789200,27.04,1414764000,1414735200,9.99,203,1.85
0,2014-11-01 00:00:00,59.86,1414875600,32.97,1414904400,0.15,sublette,30.2,0.59,1414821600sublette,42.767928,-109.91617,0.31,,0.0003,0.0038,1414886400,0.14,rain,1006.09,WY,1414850104,1414887234,59.86,1414875600,35.68,1414832400,1414821600,9.96,177,5.7
0,2014-11-02 00:00:00,38.92,1414954800,22.96,1414990800,0.18,sublette,24.96,0.63,1414908000sublette,42.767928,-109.91617,0.35,,0.0002,0.0024,1414980000,0.07,rain,1009,WY,1414936581,1414973557,43.4,1414954800,30.37,1414990800,1414908000,9.84,277,4.64
0,2014-11-03 00:00:00,35.14,1415048400,17.33,1415080800,0.07,sublette,20.08,0.61,1414998000sublette,42.767928,-109.91617,0.39,,0,0,,0,,1018.89,WY,1415023057,1415059881,42.43,1415048400,26.79,1415080800,1414998000,9.97,303,11.88
0,2014-11-04 00:00:00,39.81,1415134800,11.02,1415109600,0.07,sublette,19.7,0.6,1415084400sublette,42.767928,-109.91617,0.43,,0,0,,0,,1025.98,WY,1415109534,1415146207,44.71,1415134800,19.98,1415109600,1415084400,9.96,286,6.85
0,2014-11-05 00:00:00,50.51,1415224800,25.33,1415192400,0.06,sublette,26.26,0.63,1415170800sublette,42.767928,-109.91617,0.46,,0,0,,0,,1027.6,WY,1415196011,1415232535,50.51,1415224800,31.43,1415253600,1415170800,9.98,298,6.36
0,2014-11-06 00:00:00,54.77,1415311200,17.03,1415275200,0.05,sublette,24.85,0.64,1415257200sublette,42.767928,-109.91617,0.5,,0,0,,0,,1027.3,WY,1415282488,1415318864,54.77,1415311200,24.16,1415282400,1415257200,9.93,275,2.28
