,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,42.99,1412197200,32.61,1412168400,0.18,uinta,34.29,0.76,1412143200uinta,41.284726,-110.558947,0.25,,0.0015,0.0116,1412197200,0.52,rain,1015.75,WY,1412169611,1412211957,47.86,1412197200,37.19,1412168400,1412143200,9.71,290,6.61
0,2014-10-02 00:00:00,56.13,1412287200,28.48,1412254800,0.01,uinta,30.74,0.63,1412229600uinta,41.284726,-110.558947,0.29,,0,0,,0,,1023.27,WY,1412256073,1412298255,56.13,1412287200,33.69,1412254800,1412229600,10,252,9.06
0,2014-10-03 00:00:00,62.25,1412373600,32.86,1412341200,0,uinta,29.81,0.52,1412316000uinta,41.284726,-110.558947,0.33,,0,0,,0,,1026.53,WY,1412342535,1412384554,62.25,1412373600,36.85,1412341200,1412316000,9.99,266,6.05
0,2014-10-04 00:00:00,65.3,1412460000,34.2,1412427600,0,uinta,32.36,0.52,1412402400uinta,41.284726,-110.558947,0.36,,0,0,,0,,1023.06,WY,1412428998,1412470853,65.3,1412460000,38.54,1412427600,1412402400,9.99,270,8.23
0,2014-10-05 00:00:00,67.09,1412546400,38.26,1412514000,0.01,uinta,35.12,0.53,1412488800uinta,41.284726,-110.558947,0.4,,0,0,,0,,1019.39,WY,1412515461,1412557153,67.09,1412546400,42.1,1412514000,1412488800,10,274,7.01
0,2014-10-06 00:00:00,69.19,1412632800,39.27,1412604000,0.01,uinta,36.28,0.53,1412575200uinta,41.284726,-110.558947,0.44,,0,0,,0,,1017.28,WY,1412601924,1412643453,69.19,1412632800,44.5,1412604000,1412575200,10,257,9.19
0,2014-10-07 00:00:00,70.88,1412715600,41.44,1412683200,0.01,uinta,36.52,0.5,1412661600uinta,41.284726,-110.558947,0.48,,0,0,,0,,1016.22,WY,1412688388,1412729754,70.88,1412715600,45.2,1412683200,1412661600,10,250,6.07
0,2014-10-08 00:00:00,70.34,1412805600,41.98,1412773200,0.02,uinta,33.15,0.45,1412748000uinta,41.284726,-110.558947,0.51,,0,0,,0,,1014.63,WY,1412774852,1412816055,70.34,1412805600,41.98,1412773200,1412748000,9.98,268,1.93
0,2014-10-09 00:00:00,68.52,1412892000,41.96,1412863200,0.03,uinta,32.5,0.46,1412834400uinta,41.284726,-110.558947,0.55,,0,0,,0,,1012.98,WY,1412861316,1412902357,68.52,1412892000,41.96,1412863200,1412834400,9.97,49,0.97
0,2014-10-10 00:00:00,66.86,1412978400,41.31,1412946000,0.06,uinta,35.64,0.55,1412920800uinta,41.284726,-110.558947,0.58,,0,0,,0,,1015.67,WY,1412947780,1412988659,66.86,1412978400,41.31,1412946000,1412920800,9.99,282,1.05
0,2014-10-11 00:00:00,62.81,1413061200,37.55,1413036000,0.03,uinta,31.7,0.49,1413007200uinta,41.284726,-110.558947,0.62,,0,0,,0,,1015.17,WY,1413034245,1413074963,62.81,1413061200,40.93,1413036000,1413007200,9.99,245,8.39
