county,state,year,days_under0,dewPoint,precipAccumulation,precip,days_under_n10,days_over42,days_over32,humidity,temp_delta,temperatureMin,apparentTemperatureMin,precipIntensity
ada,ID,2010,0,37.6543715847,0.0,97,0,182,183,0.466666666667,27.5102185792,48.4986885246,46.6796721311,0.00115027322404
ada,ID,2011,0,38.3863387978,0.0,84,0,183,183,0.466338797814,27.9509836066,48.8979234973,47.0710382514,0.00104918032787
ada,ID,2013,0,38.2627173913,0.0,71,0,184,184,0.416793478261,26.2301630435,52.1436413043,50.7366304348,0.000977173913043
adams,CO,2010,0,40.2308743169,0.0,107,0,183,183,0.500163934426,27.4004918033,50.1872677596,48.4615846995,0.00228633879781
adams,CO,2011,0,38.8979234973,0.0,123,0,183,183,0.489508196721,26.8366666667,49.9990710383,47.8832240437,0.00256010928962
adams,CO,2013,0,41.8514754098,5.415,106,0,174,179,0.519617486339,24.7944808743,51.1384153005,49.5413114754,0.00184371584699
adams,ID,2010,0,37.9297802198,2.233,111,0,175,182,0.568901098901,26.7615384615,42.9546153846,41.1169230769,0.00224615384615
adams,ID,2011,0,37.7395652174,1.018,117,0,179,184,0.557826086957,27.510923913,42.8185869565,40.7958152174,0.00211413043478
adams,ID,2013,0,38.9826630435,0.163,100,0,182,184,0.509565217391,26.1672826087,46.662173913,45.3335326087,0.00149456521739
alamosa,CO,2010,0,34.6464480874,0.0,92,0,182,183,0.490054644809,29.7067213115,42.0710928962,38.8744808743,0.000883606557377
alamosa,CO,2011,0,32.010273224,1.643,95,0,182,183,0.44349726776,29.8240437158,42.5009289617,39.4799453552,0.000731147540984
alamosa,CO,2013,0,34.1750819672,2.327,100,0,178,182,0.494480874317,26.9461202186,42.595136612,39.9831693989,0.00137049180328
albany,WY,2013,0,38.2849180328,9.84,124,0,170,176,0.529016393443,24.7867213115,45.9939344262,43.6327868852,0.0018131147541
arapahoe,CO,2010,0,40.3487431694,0.0,110,0,183,183,0.499836065574,27.4747540984,50.2103278689,48.5696174863,0.00234480874317
arapahoe,CO,2011,0,38.6345355191,0.0,117,0,183,183,0.487049180328,27.1791256831,49.6229508197,47.4835519126,0.00240710382514
arapahoe,CO,2013,0,40.608852459,5.004,111,0,174,179,0.516284153005,24.5687978142,50.2081967213,48.4850819672,0.00183825136612
archuleta,CO,2010,0,32.7329508197,0.192,83,0,181,183,0.471857923497,28.6647540984,42.350273224,39.7207650273,0.00138469945355
archuleta,CO,2011,0,31.3466120219,1.502,109,0,181,183,0.442404371585,29.2361748634,42.838579235,40.5292896175,0.00137650273224
archuleta,CO,2013,0,33.1835519126,3.153,116,0,180,183,0.469398907104,26.3591256831,43.8900546448,41.9754644809,0.00172896174863
baca,CO,2010,0,48.0226775956,0.0,97,0,183,183,0.538196721311,28.4808743169,55.4483060109,54.0182513661,0.00263278688525
baca,CO,2011,0,41.1832967033,0.0,100,0,182,182,0.422747252747,31.103956044,55.1491208791,53.3458791209,0.00123791208791
baca,CO,2013,0,44.5360655738,1.186,87,0,177,182,0.504043715847,26.7715846995,54.4673770492,52.5585245902,0.00263169398907
bannock,ID,2010,0,36.067704918,1.875,111,0,177,183,0.49825136612,27.9512021858,44.3312021858,41.6250819672,0.00123224043716
bannock,ID,2011,0,38.1034782609,0.687,113,0,182,184,0.523913043478,26.8647282609,45.2715217391,42.7785869565,0.00140163043478
bannock,ID,2013,0,37.6415300546,0.416,89,0,178,183,0.46693989071,25.6465027322,48.0001092896,46.1984153005,0.000958469945355
bear lake,ID,2010,0,34.8838043478,2.868,112,0,177,184,0.493152173913,28.2604347826,43.5758695652,41.58625,0.00134782608696
bear lake,ID,2011,0,37.3266304348,2.8,116,0,179,184,0.529565217391,26.4743478261,44.446576087,42.5484782609,0.00174347826087
