,asd_desc,county_name,state_alpha,year,cyield,irig_flag
514,NORTHEAST,BOULDER,CO,2010,91.7,1
515,NORTHEAST,LARIMER,CO,2016,97.5,1
516,NORTHEAST,LARIMER,CO,2012,92.4,1
517,NORTHEAST,LARIMER,CO,2011,110.0,1
518,NORTHEAST,LARIMER,CO,2010,95.9,1
519,NORTHEAST,WELD,CO,2016,112.7,1
520,NORTHEAST,WELD,CO,2012,75.4,1
521,NORTHEAST,WELD,CO,2011,104.2,1
522,NORTHEAST,WELD,CO,2010,97.4,1
523,NORTHEAST,OTHER (COMBINED) COUNTIES,CO,2016,76.4,1
524,NORTHEAST,OTHER (COMBINED) COUNTIES,CO,2012,67.0,0
525,NORTHEAST,OTHER (COMBINED) COUNTIES,CO,2011,84.2,1
526,NORTHEAST,OTHER (COMBINED) COUNTIES,CO,2010,53.3,0
527,SOUTHWEST,OTHER (COMBINED) COUNTIES,CO,2014,90.0,1
528,SAN LUIS VALLEY,ALAMOSA,CO,2015,145.0,1
529,SAN LUIS VALLEY,ALAMOSA,CO,2014,132.9,1
530,SAN LUIS VALLEY,ALAMOSA,CO,2013,135.9,1
531,SAN LUIS VALLEY,ALAMOSA,CO,2012,133.1,1
532,SAN LUIS VALLEY,ALAMOSA,CO,2011,126.8,1
533,SAN LUIS VALLEY,ALAMOSA,CO,2010,137.5,1
534,SAN LUIS VALLEY,CONEJOS,CO,2015,114.5,1
535,SAN LUIS VALLEY,CONEJOS,CO,2014,108.1,1
536,SAN LUIS VALLEY,CONEJOS,CO,2013,143.5,1
537,SAN LUIS VALLEY,CONEJOS,CO,2012,131.3,1
538,SAN LUIS VALLEY,CONEJOS,CO,2011,133.2,1
539,SAN LUIS VALLEY,COSTILLA,CO,2015,127.2,1
540,SAN LUIS VALLEY,COSTILLA,CO,2014,127.6,1
541,SAN LUIS VALLEY,COSTILLA,CO,2013,139.8,1
542,SAN LUIS VALLEY,COSTILLA,CO,2012,120.0,1
543,SAN LUIS VALLEY,COSTILLA,CO,2011,132.6,1
544,SAN LUIS VALLEY,RIO GRANDE,CO,2015,148.8,1
545,SAN LUIS VALLEY,RIO GRANDE,CO,2014,141.8,1
546,SAN LUIS VALLEY,RIO GRANDE,CO,2013,155.2,1
547,SAN LUIS VALLEY,RIO GRANDE,CO,2012,138.0,1
548,SAN LUIS VALLEY,RIO GRANDE,CO,2011,141.6,1
549,SAN LUIS VALLEY,RIO GRANDE,CO,2010,166.7,1
550,SAN LUIS VALLEY,SAGUACHE,CO,2015,144.5,1
551,SAN LUIS VALLEY,SAGUACHE,CO,2014,141.5,1
552,SAN LUIS VALLEY,SAGUACHE,CO,2013,145.0,1
553,SAN LUIS VALLEY,SAGUACHE,CO,2012,145.2,1
554,SAN LUIS VALLEY,SAGUACHE,CO,2011,137.8,1
555,SAN LUIS VALLEY,SAGUACHE,CO,2010,137.5,1
556,SAN LUIS VALLEY,OTHER (COMBINED) COUNTIES,CO,2010,140.5,1
557,NORTH,BENEWAH,ID,2015,44.0,0
558,NORTH,BENEWAH,ID,2012,72.8,0
559,NORTH,BENEWAH,ID,2010,51.8,0
560,NORTH,BOUNDARY,ID,2016,89.7,1
561,NORTH,BOUNDARY,ID,2015,66.1,0
562,NORTH,BOUNDARY,ID,2014,86.4,1
563,NORTH,BOUNDARY,ID,2013,69.4,0
564,NORTH,BOUNDARY,ID,2012,77.8,1
565,NORTH,BOUNDARY,ID,2010,94.1,1
566,NORTH,CLEARWATER,ID,2014,45.7,0
567,NORTH,CLEARWATER,ID,2013,62.2,0
568,NORTH,IDAHO,ID,2016,93.2,1
569,NORTH,IDAHO,ID,2015,41.2,0
570,NORTH,IDAHO,ID,2014,67.9,0
571,NORTH,IDAHO,ID,2013,59.2,0
572,NORTH,IDAHO,ID,2012,56.4,0
573,NORTH,IDAHO,ID,2011,66.2,0
574,NORTH,IDAHO,ID,2010,61.2,0
575,NORTH,KOOTENAI,ID,2013,37.3,0
576,NORTH,LATAH,ID,2016,78.5,1
577,NORTH,LATAH,ID,2015,67.1,0
578,NORTH,LATAH,ID,2014,64.3,0
579,NORTH,LATAH,ID,2013,70.6,0
580,NORTH,LATAH,ID,2012,67.8,0
581,NORTH,LATAH,ID,2011,63.8,0
582,NORTH,LATAH,ID,2010,68.3,0
583,NORTH,LEWIS,ID,2016,83.9,1
584,NORTH,LEWIS,ID,2015,44.4,0
585,NORTH,LEWIS,ID,2014,75.1,1
586,NORTH,LEWIS,ID,2013,73.2,0
587,NORTH,LEWIS,ID,2012,72.0,0
588,NORTH,LEWIS,ID,2011,71.8,0
589,NORTH,LEWIS,ID,2010,67.6,0
590,NORTH,NEZ PERCE,ID,2016,87.4,1
591,NORTH,NEZ PERCE,ID,2015,65.6,0
592,NORTH,NEZ PERCE,ID,2012,67.4,0
593,NORTH,NEZ PERCE,ID,2011,64.9,0
594,NORTH,NEZ PERCE,ID,2010,54.7,0
595,NORTH,OTHER (COMBINED) COUNTIES,ID,2016,69.6,0
596,NORTH,OTHER (COMBINED) COUNTIES,ID,2015,36.4,0
597,NORTH,OTHER (COMBINED) COUNTIES,ID,2014,62.4,0
598,NORTH,OTHER (COMBINED) COUNTIES,ID,2013,73.1,0
599,NORTH,OTHER (COMBINED) COUNTIES,ID,2012,47.8,0
600,NORTH,OTHER (COMBINED) COUNTIES,ID,2011,80.9,1
601,NORTH,OTHER (COMBINED) COUNTIES,ID,2010,41.8,0
602,SOUTHWEST,ADA,ID,2014,98.0,1
603,SOUTHWEST,ADA,ID,2011,120.0,1
604,SOUTHWEST,ADA,ID,2010,117.1,1
605,SOUTHWEST,CANYON,ID,2014,102.9,1
606,SOUTHWEST,CANYON,ID,2013,118.2,1
607,SOUTHWEST,CANYON,ID,2012,112.5,1
